Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.440731523811104,0.440731523811104,1.0,0.440731523811104,0.440731523811104,0.016205211994649166,0.016205211994649166,0.016205211994649166,linear_alternating,hnx,8.0,1.0,22.0,14.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.2676611350970869,0.2676611350970869,0.9999999999999999,0.2676611350970869,0.2676611350970869,0.05886110718183011,0.05886110718183011,0.05886110718183011,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.617344195033912,0.617344195033912,1.0,0.1717760947672106,0.1717760947672106,0.01345928658695794,1.970385319551384e-08,1.970385319551384e-08,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.1717760947672106,0.1717760947672106,0.9999999999999998,0.13968354111212672,0.13968354111212672,0.02120196058129047,0.01345928658695794,0.01345928658695794,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.13968354111212672,0.13968354111212672,1.0,0.13184151030169375,0.13184151030169375,0.017493468242313775,0.02120196058129047,0.02120196058129047,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.13184151030169375,0.13184151030169375,1.0,0.12945378252561454,0.12945378252561454,0.018565344917214312,0.017493468242313775,0.017493468242313775,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.12945378252561454,0.12945378252561454,1.0,0.1288609960199211,0.1288609960199211,0.021948889142829633,0.018565344917214312,0.018565344917214312,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.1288609960199211,0.1288609960199211,1.0,0.12863932544585086,0.12863932544585086,0.024186058213266363,0.021948889142829633,0.021948889142829633,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.12863932544585086,0.12863932544585086,1.0000000000000002,0.12838850724886103,0.12838850724886103,0.025481667486291302,0.024186058213266363,0.024186058213266363,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.12838850724886103,0.12838850724886103,1.0,0.12823091692970656,0.12823091692970656,0.024166383687928113,0.025481667486291302,0.025481667486291302,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.12823091692970656,0.12823091692970656,0.9999999999999999,0.1280953492650748,0.1280953492650748,0.023523080238761863,0.024166383687928113,0.024166383687928113,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.1280953492650748,0.1280953492650748,1.0,0.12797100690368973,0.12797100690368973,0.022199781659757067,0.023523080238761863,0.023523080238761863,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.12797100690368973,0.12797100690368973,1.0000000000000002,0.1277660119449418,0.1277660119449418,0.020764427421439798,0.022199781659757067,0.022199781659757067,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.1277660119449418,0.1277660119449418,0.9999999999999999,0.12744186322422923,0.12744186322422923,0.017249452269701673,0.020764427421439798,0.020764427421439798,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.12744186322422923,0.12744186322422923,1.0,0.12708803614234657,0.12708803614234657,0.011319219583991525,0.017249452269701673,0.017249452269701673,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.12708803614234657,0.12708803614234657,1.0,0.12651644801280654,0.12651644801280654,0.0070169584702443515,0.011319219583991525,0.011319219583991525,,,,,,,,,,,,,,,,,,,,,,,
