Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.7076385111935151,0.7076385111935151,1.0,0.7076385111935151,0.7076385111935151,0.0006405662302799437,0.0006405662302799437,0.0006405662302799437,linear_alternating,hnx,5.0,2.0,21.0,7.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.4515879614843353,0.4515879614843353,1.0,0.4515879614843353,0.4515879614843353,0.0024615609107061834,0.0024615609107061834,0.0024615609107061834,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.45874780308561336,0.45874780308561336,0.9999999999999998,0.35027388339587484,0.35027388339587484,0.013997301139602647,0.0054213134058194905,0.0054213134058194905,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.5533556616050741,0.5533556616050741,1.0000000000000002,0.2454729661679994,0.2454729661679994,0.010324200339570216,0.026400278024933457,0.026400278024933457,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.35027388339587484,0.35027388339587484,1.0000000000000002,0.21920060813141148,0.21920060813141148,0.018437682031061314,0.013997301139602647,0.013997301139602647,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.2454729661679994,0.2454729661679994,1.0,0.20702379070044155,0.20702379070044155,0.043776909754861065,0.010324200339570216,0.010324200339570216,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.21920060813141148,0.21920060813141148,0.9999999999999998,0.2030575572014525,0.2030575572014525,0.09453825737340672,0.018437682031061314,0.018437682031061314,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.20702379070044155,0.20702379070044155,1.0,0.2019818481166339,0.2019818481166339,0.09600779721191173,0.043776909754861065,0.043776909754861065,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.2030575572014525,0.2030575572014525,1.0000000000000002,0.2014841608763286,0.2014841608763286,0.0917876060673246,0.09453825737340672,0.09453825737340672,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.2019818481166339,0.2019818481166339,1.0,0.20115480660378476,0.20115480660378476,0.0929352729137352,0.09600779721191173,0.09600779721191173,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.2014841608763286,0.2014841608763286,1.0000000000000002,0.20073547309364193,0.20073547309364193,0.10203290727444345,0.0917876060673246,0.0917876060673246,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.20115480660378476,0.20115480660378476,1.0,0.2003458209143688,0.2003458209143688,0.1273520822132845,0.0929352729137352,0.0929352729137352,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.20073547309364193,0.20073547309364193,0.9999999999999999,0.20032210367976566,0.20032210367976566,0.13373617363576265,0.10203290727444345,0.10203290727444345,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.2003458209143688,0.2003458209143688,1.0000000000000002,0.2002508321720828,0.2002508321720828,0.13333213400304914,0.1273520822132845,0.1273520822132845,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.20032210367976566,0.20032210367976566,1.0,0.20023422776339778,0.20023422776339778,0.1317667181417994,0.13373617363576265,0.13373617363576265,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.2002508321720828,0.2002508321720828,1.0000000000000002,0.20019767912317785,0.20019767912317785,0.12510046714146317,0.13333213400304914,0.13333213400304914,,,,,,,,,,,,,,,,,,,,,,,
