Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.0019713415730146333,-0.0019713415730146333,0.9999999999999999,-0.0019713415730146333,-0.0019713415730146333,0.0032458834482917485,0.0032458834482917485,0.0032458834482917485,linear,hnx,5.0,4.0,25.0,1.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.10285913953220852,-0.10285913953220852,1.0000000000000002,-0.18318338802558895,-0.18318338802558895,0.2756688711581687,0.2005699691515725,0.2005699691515725,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.17207764994101277,-0.17207764994101277,0.9999999999999998,-0.1835236027392568,-0.1835236027392568,0.2802814222727104,0.29057872072501995,0.29057872072501995,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.10405976249170101,-0.10405976249170101,1.0,-1.0654990298667821,-1.0654990298667821,0.534967156928809,0.07793145546155932,0.07793145546155932,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.1827633132106389,-0.1827633132106389,1.0,-1.1077032131719735,-1.1077032131719735,0.5782878154594722,0.28028424150748954,0.28028424150748954,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.18318338802558895,-0.18318338802558895,1.0,-1.519652219907701,-1.519652219907701,0.6343281104336383,0.2756688711581687,0.2756688711581687,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.0010477207263939869,-0.0010477207263939869,1.0,-2.1444769011078866,-2.1444769011078866,0.6594639059451404,0.0041933494289737114,0.0041933494289737114,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.16692374211805147,-0.16692374211805147,1.0000000000000002,-2.564074165092271,-2.564074165092271,0.6750824324283875,0.29326852805996584,0.29326852805996584,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.1835236027392568,-0.1835236027392568,1.0000000000000002,-3.0224005032216112,-3.0224005032216112,0.7404733725327709,0.2802814222727104,0.2802814222727104,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.30537229967145046,-0.30537229967145046,1.0,-3.2942114860044116,-3.2942114860044116,0.7792322277858527,0.3405312513771076,0.3405312513771076,,,,,,,,,,,,,,,,,,,,,,,
10,,,-1.0654990298667821,-1.0654990298667821,1.0,-3.400103050773341,-3.400103050773341,0.777733010618287,0.534967156928809,0.534967156928809,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.015406671768928034,-0.015406671768928034,1.0,-3.431561538053746,-3.431561538053746,0.773321089103108,0.07400705725821229,0.07400705725821229,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.9992131213094335,-0.9992131213094335,1.0000000000000002,-3.4956685004406514,-3.4956685004406514,0.7730462981454992,0.6314384345352997,0.6314384345352997,,,,,,,,,,,,,,,,,,,,,,,
13,,,-1.1077032131719735,-1.1077032131719735,1.0,-3.5386207106962324,-3.5386207106962324,0.789957818628141,0.5782878154594722,0.5782878154594722,,,,,,,,,,,,,,,,,,,,,,,
14,,,-1.298353119436091,-1.298353119436091,0.9999999999999999,-3.607665458080654,-3.607665458080654,0.8100657295579147,0.5735229796931672,0.5735229796931672,,,,,,,,,,,,,,,,,,,,,,,
15,,,-1.519652219907701,-1.519652219907701,1.0,-3.740475974205923,-3.740475974205923,0.8579755928643623,0.6343281104336383,0.6343281104336383,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.8214134611184201,-0.8214134611184201,1.0000000000000002,-3.818493051779062,-3.818493051779062,0.9181796895525629,0.42003289862912613,0.42003289862912613,,,,,,,,,,,,,,,,,,,,,,,
17,,,-2.1444769011078866,-2.1444769011078866,0.9999999999999999,-3.9679716811387133,-3.9679716811387133,0.926415801094846,0.6594639059451404,0.6594639059451404,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.7331173871742217,-0.7331173871742217,1.0,-4.001639580026137,-4.001639580026137,0.9325803867134458,0.47499456672271945,0.47499456672271945,,,,,,,,,,,,,,,,,,,,,,,
19,,,-2.564074165092271,-2.564074165092271,0.9999999999999998,-4.027917428198964,-4.027917428198964,0.9396579909201362,0.6750824324283875,0.6750824324283875,,,,,,,,,,,,,,,,,,,,,,,
20,,,-3.0224005032216112,-3.0224005032216112,0.9999999999999999,-4.051372062851378,-4.051372062851378,0.9457091349893223,0.7404733725327709,0.7404733725327709,,,,,,,,,,,,,,,,,,,,,,,
21,,,-3.2942114860044116,-3.2942114860044116,1.0,-4.071703901355471,-4.071703901355471,0.944103485150858,0.7792322277858527,0.7792322277858527,,,,,,,,,,,,,,,,,,,,,,,
22,,,-3.2994997899526117,-3.2994997899526117,1.0,-4.074558860926451,-4.074558860926451,0.9438509220710893,0.765152230204359,0.765152230204359,,,,,,,,,,,,,,,,,,,,,,,
23,,,-3.400103050773341,-3.400103050773341,0.9999999999999999,-4.075011097031218,-4.075011097031218,0.9433913794709082,0.777733010618287,0.777733010618287,,,,,,,,,,,,,,,,,,,,,,,
24,,,-3.431561538053746,-3.431561538053746,1.0,-4.075254777480837,-4.075254777480837,0.9431233247333435,0.773321089103108,0.773321089103108,,,,,,,,,,,,,,,,,,,,,,,
25,,,-3.4956685004406514,-3.4956685004406514,1.0000000000000002,-4.075377076901435,-4.075377076901435,0.9431871226604607,0.7730462981454992,0.7730462981454992,,,,,,,,,,,,,,,,,,,,,,,
26,,,-3.5386207106962324,-3.5386207106962324,0.9999999999999998,-4.075440121822637,-4.075440121822637,0.9431270165418927,0.789957818628141,0.789957818628141,,,,,,,,,,,,,,,,,,,,,,,
27,,,-3.607665458080654,-3.607665458080654,0.9999999999999999,-4.075559842402991,-4.075559842402991,0.9429371890276631,0.8100657295579147,0.8100657295579147,,,,,,,,,,,,,,,,,,,,,,,
28,,,-3.740475974205923,-3.740475974205923,1.0000000000000002,-4.075667823920527,-4.075667823920527,0.9428391953267288,0.8579755928643623,0.8579755928643623,,,,,,,,,,,,,,,,,,,,,,,
29,,,-3.818493051779062,-3.818493051779062,1.0000000000000002,-4.075883463650686,-4.075883463650686,0.9428490048496839,0.9181796895525629,0.9181796895525629,,,,,,,,,,,,,,,,,,,,,,,
30,,,-3.9679716811387133,-3.9679716811387133,1.0,-4.076093796024152,-4.076093796024152,0.9432127618544915,0.926415801094846,0.926415801094846,,,,,,,,,,,,,,,,,,,,,,,
31,,,-4.001639580026137,-4.001639580026137,1.0,-4.076311789130651,-4.076311789130651,0.9433494375012411,0.9325803867134458,0.9325803867134458,,,,,,,,,,,,,,,,,,,,,,,
32,,,-4.027917428198964,-4.027917428198964,1.0,-4.076540759916867,-4.076540759916867,0.9436701800986039,0.9396579909201362,0.9396579909201362,,,,,,,,,,,,,,,,,,,,,,,
33,,,-4.051372062851378,-4.051372062851378,1.0000000000000002,-4.076804163239533,-4.076804163239533,0.9437861593133356,0.9457091349893223,0.9457091349893223,,,,,,,,,,,,,,,,,,,,,,,
34,,,-4.071703901355471,-4.071703901355471,1.0,-4.0771313088359165,-4.0771313088359165,0.9434726188792755,0.944103485150858,0.944103485150858,,,,,,,,,,,,,,,,,,,,,,,
35,,,-4.074558860926451,-4.074558860926451,1.0000000000000002,-4.077324496809988,-4.077324496809988,0.9429488444123796,0.9438509220710893,0.9438509220710893,,,,,,,,,,,,,,,,,,,,,,,
36,,,-4.075011097031218,-4.075011097031218,1.0,-4.077518801380611,-4.077518801380611,0.9430393131686771,0.9433913794709082,0.9433913794709082,,,,,,,,,,,,,,,,,,,,,,,
37,,,-4.075254777480837,-4.075254777480837,1.0,-4.07755024646888,-4.07755024646888,0.942973768577839,0.9431233247333435,0.9431233247333435,,,,,,,,,,,,,,,,,,,,,,,
38,,,-4.075377076901435,-4.075377076901435,1.0,-4.07762777835333,-4.07762777835333,0.9428424604690607,0.9431871226604607,0.9431871226604607,,,,,,,,,,,,,,,,,,,,,,,
39,,,-4.075440121822637,-4.075440121822637,0.9999999999999999,-4.077757467754542,-4.077757467754542,0.9426211371020249,0.9431270165418927,0.9431270165418927,,,,,,,,,,,,,,,,,,,,,,,
40,,,-4.075559842402991,-4.075559842402991,1.0000000000000002,-4.078020086502112,-4.078020086502112,0.9425259308777415,0.9429371890276631,0.9429371890276631,,,,,,,,,,,,,,,,,,,,,,,
41,,,-4.075667823920527,-4.075667823920527,1.0000000000000002,-4.080150278926618,-4.080150278926618,0.9422352877935635,0.9428391953267288,0.9428391953267288,,,,,,,,,,,,,,,,,,,,,,,
42,,,-4.075883463650686,-4.075883463650686,1.0000000000000002,-4.081384368005096,-4.081384368005096,0.9420114296206505,0.9428490048496839,0.9428490048496839,,,,,,,,,,,,,,,,,,,,,,,
43,,,-4.076093796024152,-4.076093796024152,1.0000000000000002,-4.08274407741075,-4.08274407741075,0.9429555067172238,0.9432127618544915,0.9432127618544915,,,,,,,,,,,,,,,,,,,,,,,
44,,,-4.076311789130651,-4.076311789130651,0.9999999999999999,-4.083576141005928,-4.083576141005928,0.9432699021977232,0.9433494375012411,0.9433494375012411,,,,,,,,,,,,,,,,,,,,,,,
45,,,-4.076540759916867,-4.076540759916867,1.0,-4.083816599136538,-4.083816599136538,0.9433264539155555,0.9436701800986039,0.9436701800986039,,,,,,,,,,,,,,,,,,,,,,,
46,,,-4.076804163239533,-4.076804163239533,1.0,-4.083933599573066,-4.083933599573066,0.9434853377959366,0.9437861593133356,0.9437861593133356,,,,,,,,,,,,,,,,,,,,,,,
47,,,-4.0771313088359165,-4.0771313088359165,1.0,-4.0840760017888025,-4.0840760017888025,0.9437478936470665,0.9434726188792755,0.9434726188792755,,,,,,,,,,,,,,,,,,,,,,,
48,,,-4.077324496809988,-4.077324496809988,1.0,-4.084226628459445,-4.084226628459445,0.9439521207363577,0.9429488444123796,0.9429488444123796,,,,,,,,,,,,,,,,,,,,,,,
49,,,-4.077518801380611,-4.077518801380611,1.0,-4.084423308901883,-4.084423308901883,0.9440870900384993,0.9430393131686771,0.9430393131686771,,,,,,,,,,,,,,,,,,,,,,,
50,,,-4.07755024646888,-4.07755024646888,0.9999999999999999,-4.084727666196919,-4.084727666196919,0.9440230619015773,0.942973768577839,0.942973768577839,,,,,,,,,,,,,,,,,,,,,,,
51,,,-4.07762777835333,-4.07762777835333,1.0,-4.084727666196919,-4.084727666196919,0.9440230619015773,0.9428424604690607,0.9428424604690607,,,,,,,,,,,,,,,,,,,,,,,
52,,,-4.077757467754542,-4.077757467754542,1.0,,,,0.9426211371020249,0.9426211371020249,,,,,,,,,,,,,,,,,,,,,,,
53,,,-4.078020086502112,-4.078020086502112,1.0,,,,0.9425259308777415,0.9425259308777415,,,,,,,,,,,,,,,,,,,,,,,
54,,,-4.080150278926618,-4.080150278926618,0.9999999999999999,,,,0.9422352877935635,0.9422352877935635,,,,,,,,,,,,,,,,,,,,,,,
55,,,-4.079949990192617,-4.079949990192617,0.9999999999999999,,,,0.9419893385945473,0.9419893385945473,,,,,,,,,,,,,,,,,,,,,,,
56,,,-4.081384368005096,-4.081384368005096,0.9999999999999999,,,,0.9420114296206505,0.9420114296206505,,,,,,,,,,,,,,,,,,,,,,,
57,,,-4.08274407741075,-4.08274407741075,0.9999999999999999,,,,0.9429555067172238,0.9429555067172238,,,,,,,,,,,,,,,,,,,,,,,
58,,,-4.082844886515067,-4.082844886515067,0.9999999999999999,,,,0.9435586694847982,0.9435586694847982,,,,,,,,,,,,,,,,,,,,,,,
59,,,-4.083576141005928,-4.083576141005928,1.0,,,,0.9432699021977232,0.9432699021977232,,,,,,,,,,,,,,,,,,,,,,,
60,,,-4.083816599136538,-4.083816599136538,1.0000000000000002,,,,0.9433264539155555,0.9433264539155555,,,,,,,,,,,,,,,,,,,,,,,
61,,,-4.083933599573066,-4.083933599573066,1.0,,,,0.9434853377959366,0.9434853377959366,,,,,,,,,,,,,,,,,,,,,,,
62,,,-4.0840760017888025,-4.0840760017888025,1.0,,,,0.9437478936470665,0.9437478936470665,,,,,,,,,,,,,,,,,,,,,,,
63,,,-4.084226628459445,-4.084226628459445,0.9999999999999998,,,,0.9439521207363577,0.9439521207363577,,,,,,,,,,,,,,,,,,,,,,,
64,,,-4.084423308901883,-4.084423308901883,1.0,,,,0.9440870900384993,0.9440870900384993,,,,,,,,,,,,,,,,,,,,,,,
65,,,-4.084727666196919,-4.084727666196919,1.0,,,,0.9440230619015773,0.9440230619015773,,,,,,,,,,,,,,,,,,,,,,,
