Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.8467957938883255,0.8467957938883255,1.0,0.8467957938883255,0.8467957938883255,0.01439986320585147,0.01439986320585147,0.01439986320585147,linear_alternating,hnx,3.0,3.0,15.0,11.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.5130440446816135,0.5130440446816135,1.0000000000000002,0.5130440446816135,0.5130440446816135,0.008198141004629808,0.008198141004629808,0.008198141004629808,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.4185911003456947,0.4185911003456947,0.9999999999999998,0.4185911003456947,0.4185911003456947,0.03053348665410439,0.03053348665410439,0.03053348665410439,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.3420099688403618,0.3420099688403618,1.0000000000000002,0.3420099688403618,0.3420099688403618,0.051719217711892834,0.051719217711892834,0.051719217711892834,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.3368173134916325,0.3368173134916325,1.0,0.3368173134916325,0.3368173134916325,0.06600064726413161,0.06600064726413161,0.06600064726413161,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.3352569767609962,0.3352569767609962,1.0,0.3352569767609962,0.3352569767609962,0.07545576282895006,0.07545576282895006,0.07545576282895006,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.3339859611959093,0.3339859611959093,1.0,0.3339859611959093,0.3339859611959093,0.08967632222904089,0.08967632222904089,0.08967632222904089,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.3321793884065542,0.3321793884065542,1.0000000000000002,0.3321793884065542,0.3321793884065542,0.13749628510502435,0.13749628510502435,0.13749628510502435,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.3312898732541015,0.3312898732541015,1.0,0.3312898732541015,0.3312898732541015,0.22435908094640275,0.22435908094640275,0.22435908094640275,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.3270391974759779,0.3270391974759779,1.0,0.30741576930754605,0.30741576930754605,0.8419383787602442,0.5567662068297401,0.5567662068297401,,,,,,,,,,,,,,,,,,,,,,,
