Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,mem,DD
0,ehningen_14nov22,ibmq_ehningen,1.6543419201257505,1.623680318999346,,1.6543419201257505,1.623680318999346,0.003830253750338524,0.003830253750338524,,linear_alternating,hnx,5.0,3.0,29.0,2.0,False,10000.0,44.0,12.0,SatoLiu21,HTest,Sato21_Nonnorm,NFT,ry,cz,rx,rzz,ryy,hadamards,True,True,True,False
1,,,2.0084898094328114,1.9071764326197853,,0.020302075583314174,1.516379789823895,0.021213937516153053,0.0036010924868111133,,,,,,,,,,45.0,14.0,,,,,,,,,,,,,,
2,,,1.34066514726867,1.5264329669016081,,-0.0005822674141829782,1.4496693421272062,0.02599380482288641,0.02176611254273761,,,,,,,,,,52.0,16.0,,,,,,,,,,,,,,
3,,,1.4178623180760141,1.55279270638876,,-0.00037490425621246326,1.3417353244369588,0.06876489022865925,0.024105454599610873,,,,,,,,,,61.0,18.0,,,,,,,,,,,,,,
4,,,1.7993850430247662,1.893478485824473,,5.865631282200317e-05,1.0848802991883915,0.00677843499281837,0.002572616210341755,,,,,,,,,,68.0,20.0,,,,,,,,,,,,,,
5,,,1.8777598520552325,1.7070378205877974,,5.865631282200317e-05,0.7086985970196419,7.680826180292185e-06,0.003742909744980548,,,,,,,,,,704.0,222.0,,,,,,,,,,,,,,
6,,,1.1307966596824495,1.4139762606458677,,,0.6760709547961303,5.847884479205854e-05,0.0836292599186989,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,1.011639938234301,1.0695769886786402,,,0.6602661086136423,0.0003678357603072028,0.004255352855203722,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,1.1392260394123017,1.499516610018382,,,0.5355959606230464,0.0008363077641908172,0.09340175831884935,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,1.3211540296349336,1.51147927470484,,,0.558076050305335,0.00016310182809459793,0.016366310107732634,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.8156363907423373,0.6950163775280287,,,0.5291154601212255,2.2187462082135915e-08,0.00013217888326273573,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,1.7478951287278957,1.8796244527719017,,,0.5334083036790243,3.4573887349647224e-06,0.0053413635603375385,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,1.4217632882160511,1.3611897743232961,,,0.5355665344519493,1.650648360128098e-05,0.004783830213085084,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,1.2790829757846927,1.2517439836215152,,,0.39771275500420566,0.004857220673532161,0.00835341531107876,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,1.5117026255461607,1.5833901248096591,,,0.3871224138599897,0.005291057870827083,0.00649351068383821,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,1.9882854573236153,1.9781284428401387,,,0.3867780563706054,0.005223406879154405,0.0001806430231285606,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,1.0633237212695292,1.015121767629978,,,0.36987881617775575,0.005317170091826791,0.0016454069316153772,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,1.0177960578144372,1.196272119485093,,,0.3009090373076183,0.0018677931570301035,0.05055295454644219,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,1.2562660483370887,0.9733512932112871,,,0.288754376957634,0.0020233648373133898,0.07061640004847647,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,1.7560817103838025,1.8562810327998664,,,0.2984288446181624,0.004178003299138123,0.011482589531752572,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,1.4085281726412464,1.3005136053875743,,,0.2566503945839487,0.001067509096850518,0.007938050268151073,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,1.4497602124239777,1.399928932638658,,,0.2507708156794479,0.0006119906098693799,0.00017391260776427171,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,1.1911775443850443,1.2996140163652425,,,0.2508783088065498,0.0006060485485869743,0.00017951300960728755,,,,,,,,,,,,,,,,,,,,,,,,,
