Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,mem,DD
0,ehningen_14nov22,ibmq_ehningen,8.290790981787616,8.740515872087856,,8.290790981787616,8.740515872087856,0.007823531314619193,0.007823531314619193,,linear_alternating,hnx,5.0,3.0,29.0,4.0,False,10000.0,44.0,12.0,SatoLiu21,HTest,Sato21_Nonnorm,NFT,ry,cz,rx,rzz,ryy,hadamards,True,True,True,False
1,,,4.824984635738185,4.770058506019903,,0.6711778838807754,4.518244491436106,0.0013712026879926763,0.0023722015849653253,,,,,,,,,,45.0,14.0,,,,,,,,,,,,,,
2,,,10.14970687622016,10.287761114593232,,0.04615827039623634,3.9523976588958787,0.00036359384816490685,0.00583435768700689,,,,,,,,,,52.0,16.0,,,,,,,,,,,,,,
3,,,5.095608513131436,4.616398658495716,,0.0007165144405511618,3.533520642924422,0.007355449376342928,8.0869240637235e-05,,,,,,,,,,61.0,18.0,,,,,,,,,,,,,,
4,,,7.667170609589221,7.616463423748828,,-1.5427963292690955e-05,3.3546693513925003,0.004687413387133015,0.0037651371124793947,,,,,,,,,,68.0,20.0,,,,,,,,,,,,,,
5,,,4.483724316967332,3.4343052231035776,,-1.5427963292690955e-05,3.111877895836984,0.02375837612945705,0.060464158588346605,,,,,,,,,,704.0,222.0,,,,,,,,,,,,,,
6,,,5.272549539840325,5.634538813573543,,,3.1231829287978257,0.023010341584838646,0.074453139857852,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,4.3574683442551665,3.83999549207621,,,3.1683870901974385,0.018670135412682462,0.0008559192379868537,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,5.308373722629859,4.822662068188505,,,2.2676149362631546,0.025971320420443096,0.008469961996501598,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,4.363493512264594,2.8238808559057245,,,2.238305534061614,0.028637781322491077,0.22395087442234005,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,4.667581476396195,5.358424678652837,,,2.1703420880658997,0.024117353961644782,0.14168508457592102,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,7.640027985598503,6.95646043224651,,,2.2152270485016934,0.014126397325645555,0.02486740764595756,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,7.1707450743038255,7.086242539227904,,,1.960559065171865,0.004120103542087387,0.0036348050443526536,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,5.159876272441496,4.135431413222008,,,2.037871073042406,0.0003240089013354925,0.051283536161388976,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,4.808358530887937,4.6025101728755615,,,2.00183024718791,0.00033577249062104035,0.00014242911487128573,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,4.968052902397554,4.29277911068701,,,1.9562349480319807,0.0002290483322211009,0.0012743603955608664,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,3.4371348430001007,2.238695846062493,,,1.9931897770111018,2.7702259007545622e-05,0.02481826035038709,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,4.318306822535355,3.1549923159152526,,,1.689094843437477,8.907861154897475e-05,0.06062567212750237,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,4.4961908522400975,4.018808486287376,,,1.710247183914501,0.00013944306515144443,0.0003353853035328996,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,4.311190936155248,3.498306782010922,,,1.704221969210005,0.00043068779325916595,0.003666407485193687,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,5.096138267324052,4.301069408921893,,,1.5344450065214918,1.7256189989736548e-05,0.031959523608169275,,,,,,,,,,,,,,,,,,,,,,,,,
