Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.981265523908713,0.981265523908713,1.0,0.981265523908713,0.981265523908713,0.48115745222458334,0.48115745222458334,0.48115745222458334,linear_alternating,hnx,3.0,1.0,7.0,5.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Global,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.7434090547613253,0.7434090547613253,1.0000000000000002,0.9611003068077774,0.9611003068077774,0.3054836205080527,0.69609702655381,0.69609702655381,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.9611003068077774,0.9611003068077774,1.0,0.8684068206465542,0.8684068206465542,0.31737676722045743,0.3054836205080527,0.3054836205080527,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.9895048043846181,0.9895048043846181,1.0000000000000002,0.8402124606452763,0.8402124606452763,0.3341455143864333,0.008109185162772049,0.008109185162772049,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.8684068206465542,0.8684068206465542,1.0,0.7668174601663617,0.7668174601663617,0.6349385734946859,0.31737676722045743,0.31737676722045743,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.9989352744308971,0.9989352744308971,1.0,0.5547509060076998,0.5547509060076998,0.9162483828537412,0.12208256186476246,0.12208256186476246,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.8402124606452763,0.8402124606452763,0.9999999999999998,0.544949708009907,0.544949708009907,0.9232219516729712,0.3341455143864333,0.3341455143864333,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.7668174601663617,0.7668174601663617,1.0000000000000002,0.5351615196621299,0.5351615196621299,0.9274475041950528,0.6349385734946859,0.6349385734946859,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.6527469422158186,0.6527469422158186,0.9999999999999998,0.5339095409804054,0.5339095409804054,0.9297599066131712,0.8472731316700667,0.8472731316700667,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.8620243482638336,0.8620243482638336,1.0,0.5324537170648007,0.5324537170648007,0.9294829679556708,0.29304649616567086,0.29304649616567086,,,,,,,,,,,,,,,,,,,,,,,
