Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_1,simulator,-0.00012940487947620574,-0.00010211202328503029,,-0.00012940487947620574,-0.00010211202328503029,0.003235931552962554,0.003235931552962554,,linear_alternating,hnx,5.0,3.0,29.0,3.0,False,10000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.00048801343838739564,-0.0002366887791755052,,-1.7056301395348825,-0.0002149223041517463,0.004303296423171449,0.004867450399558957,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-5.212405525149866e-06,-9.589172187796347e-08,,-3.660047656870535,-0.08807496988188683,0.26026880953932785,0.00011407895812140001,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.03870752950301954,-0.03975400751381149,,-4.458893422306965,-0.26079278140010437,0.4195319112187948,0.16332319018053598,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.022765280567545624,-0.02312768003800146,,-4.680939679358743,-0.2607610746357124,0.4193421202362145,0.09694561935881636,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.37395354563361777,-0.39118121560786734,,-4.5135624528301745,-0.2785558565221835,0.4588278609711337,0.4723732395510457,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.00011183975397913913,-4.897751194983643e-05,,-4.225718641114987,-0.35179469190087603,0.48967703310331734,0.001168873167004953,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.1272253302629984,-0.13188172337051196,,-4.324328749999996,-0.3703726324197662,0.5159307606574719,0.2532446995185098,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.12979265543570478,-0.12355998445374129,,-4.324328749999996,-0.7742476309129096,0.6216159563804458,0.17037909821465116,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.2203500945626478,-0.22239092993645562,,,-0.7801098583811924,0.617532470255201,0.40553685853573496,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.05698460785513272,-0.059895651759603596,,,-0.7954319106333468,0.621693150106027,0.07782944577222324,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.228738580874873,-0.21752108714020577,,,-0.8250051064850555,0.6298725854171651,0.38021893263667444,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.03439657240788347,-0.03795138744174247,,,-0.8172389351139691,0.6200154265952551,0.1165024369864918,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.04440608034744844,-0.05060186889485201,,,-0.8558568294104819,0.41768795360157446,0.13717218421644684,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.23218911510577006,-0.22711530494905652,,,-0.8779603399644791,0.41772074340632176,0.38347744882028834,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.011321456359945877,-0.011398072131540399,,,-0.8781010905744399,0.41766098717059175,0.07171595373516376,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.3871522034316751,-0.38597085751100807,,,-0.9033935766965263,0.41976640525741954,0.5595152244804937,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.2863913279132791,-0.2844128148322172,,,-1.2879170983760606,0.6567886067868703,0.37782716476984607,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.310907359685521,-0.2975987832725639,,,-1.2913251288774052,0.6566630014592247,0.2503267349490942,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.1368594199754104,-0.1406705891245449,,,-1.3296026224471944,0.664697584197372,0.3861355569871215,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.08308793793187055,-0.08292913757293222,,,-1.3233360391788749,0.6569937930502956,0.24003796003967579,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.06459131469363473,-0.063641783481899,,,-1.332506198793222,0.6616397503324202,0.2288504252293652,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.15916474533640748,-0.1640747454827971,,,-1.3453319342721841,0.6617478974615298,0.4053731286720932,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.28810824047998035,-0.28991909392271115,,,-1.3484316440611648,0.6620230014488895,0.30799090108781296,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.1467892297564187,-0.14726201767763517,,,-1.4271963056485462,0.7060502501449454,0.32195912510335434,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.15581639344262288,-0.15746199638563962,,,-1.4243994510850895,0.7100427851360371,0.247325264488783,,,,,,,,,,,,,,,,,,,,,,,,
