Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-4.992399772337764e-05,-4.992399772337764e-05,1.0,-4.992399772337764e-05,-4.992399772337764e-05,9.068475922406614e-05,9.068475922406614e-05,9.068475922406614e-05,linear,hnx,5.0,5.0,30.0,11.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.030164181742906065,-0.030164181742906065,1.0,-0.036906992239701605,-0.036906992239701605,0.0630570157656727,0.06253411285581388,0.06253411285581388,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.034508932598939626,-0.034508932598939626,1.0000000000000002,-0.5658441359434995,-0.5658441359434995,0.5056287328199324,0.06519983036901769,0.06519983036901769,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.00641542911431166,-0.00641542911431166,1.0,-0.9200292329388438,-0.9200292329388438,0.649308834823298,0.02340905864078499,0.02340905864078499,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.036906992239701605,-0.036906992239701605,1.0,-1.1225203555082877,-1.1225203555082877,0.7267997066933746,0.0630570157656727,0.0630570157656727,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.05464087953816303,-0.05464087953816303,1.0,-1.6789529273657617,-1.6789529273657617,0.8221105536105394,0.09417641420784954,0.09417641420784954,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.18668307626614053,-0.18668307626614053,1.0,-2.239128159387839,-2.239128159387839,0.8620639134490955,0.26575230350822643,0.26575230350822643,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.10402931146371568,-0.10402931146371568,1.0,-2.7909751194178933,-2.7909751194178933,0.8832625462488827,0.265179564201448,0.265179564201448,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.5433375552700968,-0.5433375552700968,1.0000000000000002,-3.2027695076942684,-3.2027695076942684,0.8912922749026956,0.4884871698779848,0.4884871698779848,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.5658441359434995,-0.5658441359434995,1.0,-3.445390959803734,-3.445390959803734,0.8970536103391922,0.5056287328199324,0.5056287328199324,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.7400645154546109,-0.7400645154546109,1.0,-3.5473385812663065,-3.5473385812663065,0.8972008537511206,0.573135802023181,0.573135802023181,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.6647734927225135,-0.6647734927225135,1.0,-3.705847489074533,-3.705847489074533,0.9191077979194269,0.6492469570809647,0.6492469570809647,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.9200292329388438,-0.9200292329388438,1.0,-3.7756047945523363,-3.7756047945523363,0.9194011235544743,0.649308834823298,0.649308834823298,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.008020250837572223,-0.008020250837572223,1.0,-3.8208940369004294,-3.8208940369004294,0.9218446282496818,0.01013787562591707,0.01013787562591707,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.0002734570174448825,-0.0002734570174448825,0.9999999999999999,-3.8965760405060728,-3.8965760405060728,0.9296566564624366,0.0007871636827920796,0.0007871636827920796,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.32461073290527787,-0.32461073290527787,1.0000000000000002,-4.009805016191331,-4.009805016191331,0.9393391613726393,0.6241077534954631,0.6241077534954631,,,,,,,,,,,,,,,,,,,,,,,
16,,,-1.1225203555082877,-1.1225203555082877,0.9999999999999998,-4.042650681815103,-4.042650681815103,0.9385948896597692,0.7267997066933746,0.7267997066933746,,,,,,,,,,,,,,,,,,,,,,,
17,,,-1.6789529273657617,-1.6789529273657617,1.0,-4.081020508016945,-4.081020508016945,0.9403764118869314,0.8221105536105394,0.8221105536105394,,,,,,,,,,,,,,,,,,,,,,,
18,,,-1.5665370450774765,-1.5665370450774765,1.0000000000000002,-4.0824030286078345,-4.0824030286078345,0.9404694698662633,0.8326724292528412,0.8326724292528412,,,,,,,,,,,,,,,,,,,,,,,
19,,,-2.239128159387839,-2.239128159387839,1.0000000000000002,-4.0835035879932065,-4.0835035879932065,0.9407381937341067,0.8620639134490955,0.8620639134490955,,,,,,,,,,,,,,,,,,,,,,,
20,,,-1.6897243104153155,-1.6897243104153155,1.0000000000000002,-4.083968546373944,-4.083968546373944,0.9414437819027024,0.8677773680451554,0.8677773680451554,,,,,,,,,,,,,,,,,,,,,,,
21,,,-2.7909751194178933,-2.7909751194178933,1.0000000000000002,-4.084829126536651,-4.084829126536651,0.9416640780352762,0.8832625462488827,0.8832625462488827,,,,,,,,,,,,,,,,,,,,,,,
22,,,-2.659599178055354,-2.659599178055354,1.0000000000000002,-4.085216633666607,-4.085216633666607,0.9420404911518043,0.8727732088878859,0.8727732088878859,,,,,,,,,,,,,,,,,,,,,,,
23,,,-3.2027695076942684,-3.2027695076942684,1.0,-4.085566101762864,-4.085566101762864,0.9425055491437841,0.8912922749026956,0.8912922749026956,,,,,,,,,,,,,,,,,,,,,,,
