Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_spsa_custom_hyper_1,simulator,-0.0023061040246734987,-0.0022567538580319946,,-0.0023061040246734987,-0.0022567538580319946,0.01047465164069068,0.01047465164069068,,linear_alternating,hnx,5.0,3.0,29.0,10.0,False,100000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,SPSA,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.0020201603743647306,-0.0022567538580319946,,-0.002383928091745013,-0.0025446799348219813,0.011706456315376602,0.01047465164069068,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.0022171282423224495,-0.0022567538580319946,,-0.002619860799281541,-0.0025617356147516123,0.011767042713105495,0.01047465164069068,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.0023952427470190626,-0.0022567538580319946,,-0.002769437627282859,-0.002672952855600057,0.01228536686262774,0.01047465164069068,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.0020996701831892447,-0.0022567538580319946,,-0.004058056962435078,-0.004192332169025903,0.016223367512594303,0.01047465164069068,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.0023552734844847155,-0.0022567538580319946,,-0.004311701704049293,-0.004276254664459011,0.016353088289808512,0.01047465164069068,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.0022966351380269596,-0.0022567538580319946,,-0.004374397467269977,-0.0044695186194349855,0.017498407057376833,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.0023113939532491256,-0.0022567538580319946,,-0.004623075388146477,-0.004604673187218758,0.01807398160864993,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.002498596147163686,-0.0022567538580319946,,-0.005108287035679017,-0.005670428375004588,0.023439971875606657,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.0023143701800704313,-0.0022567538580319946,,-0.006983780633313532,-0.006678402327049832,0.02583082236604116,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.0022774275327839175,-0.0022567538580319946,,-0.0076231964285714245,-0.00739728555191002,0.02848650908182734,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.0022758899906916703,-0.0022567538580319946,,-0.008497044811602338,-0.008547372680377094,0.03157446308298932,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.0020261526010349872,-0.0022567538580319946,,-0.009020989516277366,-0.008781314476965757,0.03316600540593763,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.0023951112550175493,-0.0022567538580319946,,-0.01014407484428782,-0.009952219327844113,0.03818083702572312,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.0020845235883044473,-0.0022567538580319946,,-0.013411337591006371,-0.013417789141412062,0.05245448261847434,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.0024381014050440628,-0.0022567538580319946,,-0.013873286877208452,-0.014173385526454384,0.05385948023357096,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.0022187197113558727,-0.0022567538580319946,,-0.013975213884250878,-0.014224595364113617,0.05405325843762211,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.0022358769573665553,-0.0022567538580319946,,-0.041129441999529705,-0.04035163298521132,0.12162365797343765,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.0022290078731200054,-0.0022567538580319946,,-0.056260428750906845,-0.056894020239624594,0.15538744974058719,0.01047465164069068,,,,,,,,,,,,,,,,,,,,,,,,
