Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.44980311845807786,0.44980311845807786,1.0,0.44980311845807786,0.44980311845807786,0.0242953279305499,0.0242953279305499,0.0242953279305499,linear_alternating,hnx,8.0,2.0,36.0,5.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.31415343011142977,0.31415343011142977,1.0,0.31415343011142977,0.31415343011142977,0.08456843957714645,0.08456843957714645,0.08456843957714645,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.2595383549231376,0.2595383549231376,1.0,0.2595383549231376,0.2595383549231376,0.21332067404029967,0.21332067404029967,0.21332067404029967,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.20652848264518248,0.20652848264518248,1.0,0.20652848264518248,0.20652848264518248,0.287801728055161,0.287801728055161,0.287801728055161,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.16218346325513952,0.16218346325513952,0.9999999999999999,0.16218346325513952,0.16218346325513952,0.29730125677870534,0.29730125677870534,0.29730125677870534,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.14401491474713332,0.14401491474713332,0.9999999999999999,0.14401491474713332,0.14401491474713332,0.29559239179645636,0.29559239179645636,0.29559239179645636,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.13554912434275657,0.13554912434275657,1.0,0.13554912434275657,0.13554912434275657,0.2636860317221625,0.2636860317221625,0.2636860317221625,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.13121938116070608,0.13121938116070608,1.0000000000000002,0.13121938116070608,0.13121938116070608,0.24520356734947038,0.24520356734947038,0.24520356734947038,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.12999344415450315,0.12999344415450315,0.9999999999999998,0.12999344415450315,0.12999344415450315,0.23312048777825026,0.23312048777825026,0.23312048777825026,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.12700693770667537,0.12700693770667537,0.9999999999999999,0.12700693770667537,0.12700693770667537,0.18284619114299525,0.18284619114299525,0.18284619114299525,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.1267601101876834,0.1267601101876834,1.0,0.1267601101876834,0.1267601101876834,0.1359509703084737,0.1359509703084737,0.1359509703084737,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.1260134569209262,0.1260134569209262,1.0000000000000002,0.1260134569209262,0.1260134569209262,0.13327338435135008,0.13327338435135008,0.13327338435135008,,,,,,,,,,,,,,,,,,,,,,,
