Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.6789229497376476,0.6789229497376476,1.0,0.6789229497376476,0.6789229497376476,0.0009865643466903126,0.0009865643466903126,0.0009865643466903126,linear_alternating,hnx,5.0,3.0,29.0,9.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.05220488251316627,-0.05220488251316627,0.9999999999999999,-0.05220488251316627,-0.05220488251316627,0.10536670201296511,0.10536670201296511,0.10536670201296511,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.08393563497653873,-0.08393563497653873,1.0000000000000002,-0.18539818146846562,-0.18539818146846562,0.4502798954125557,0.16023832969700474,0.16023832969700474,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.18539818146846562,-0.18539818146846562,1.0000000000000002,-0.2800374618825465,-0.2800374618825465,0.6657022575016522,0.4502798954125557,0.4502798954125557,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.39909992031672825,0.39909992031672825,1.0,-0.3588445129463353,-0.3588445129463353,0.6675148615204466,0.00539912958658691,0.00539912958658691,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.2800374618825465,-0.2800374618825465,1.0,-0.5457821843680383,-0.5457821843680383,0.7016250958027577,0.6657022575016522,0.6657022575016522,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.31591901811541606,-0.31591901811541606,0.9999999999999999,-0.6720087731424449,-0.6720087731424449,0.7313702048312419,0.4996265222457224,0.4996265222457224,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.3588445129463353,-0.3588445129463353,1.0000000000000002,-0.8296930706854473,-0.8296930706854473,0.7676091784944449,0.6675148615204466,0.6675148615204466,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.5457821843680383,-0.5457821843680383,1.0,-1.032952323621307,-1.032952323621307,0.7920353530297264,0.7016250958027577,0.7016250958027577,,,,,,,,,,,,,,,,,,,,,,,
9,,,7.323694667408601,7.323694667408601,0.9999999999999998,-1.3652859875573065,-1.3652859875573065,0.7937663748154469,0.034546437555688696,0.034546437555688696,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.6720087731424449,-0.6720087731424449,1.0000000000000002,-1.641494357562396,-1.641494357562396,0.8017082298159139,0.7313702048312419,0.7313702048312419,,,,,,,,,,,,,,,,,,,,,,,
11,,,5.412263471215161,5.412263471215161,1.0000000000000002,-1.9799093800353762,-1.9799093800353762,0.7858793305139281,0.17693340224602855,0.17693340224602855,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.8296930706854473,-0.8296930706854473,1.0,-2.176075398585912,-2.176075398585912,0.8039439873065861,0.7676091784944449,0.7676091784944449,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.07470022501686753,-0.07470022501686753,1.0,-2.6732050814729753,-2.6732050814729753,0.7770398132716325,0.6031352741850265,0.6031352741850265,,,,,,,,,,,,,,,,,,,,,,,
14,,,-1.032952323621307,-1.032952323621307,1.0000000000000002,-2.854316302780016,-2.854316302780016,0.7346303539425668,0.7920353530297264,0.7920353530297264,,,,,,,,,,,,,,,,,,,,,,,
15,,,-1.3652859875573065,-1.3652859875573065,1.0,-2.8865106278449573,-2.8865106278449573,0.7843974797909214,0.7937663748154469,0.7937663748154469,,,,,,,,,,,,,,,,,,,,,,,
16,,,-1.3347817881090371,-1.3347817881090371,1.0000000000000002,-3.0556487069915246,-3.0556487069915246,0.7633326595356993,0.7583880226214148,0.7583880226214148,,,,,,,,,,,,,,,,,,,,,,,
17,,,-1.641494357562396,-1.641494357562396,0.9999999999999999,-3.1977411128273703,-3.1977411128273703,0.7578522137167337,0.8017082298159139,0.8017082298159139,,,,,,,,,,,,,,,,,,,,,,,
18,,,-1.9799093800353762,-1.9799093800353762,1.0000000000000002,-3.3784405597978173,-3.3784405597978173,0.7833330931236252,0.7858793305139281,0.7858793305139281,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.7007113215551787,-0.7007113215551787,1.0,-3.51186493846129,-3.51186493846129,0.8198087672505738,0.7185545896644742,0.7185545896644742,,,,,,,,,,,,,,,,,,,,,,,
