Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_spsa_custom_hyper_1,simulator,-0.00237623762376238,-1.7874797964278793e-05,,-0.00237623762376238,-1.7874797964278793e-05,0.0023503468190869837,0.0023503468190869837,,linear_alternating,hnx,5.0,3.0,29.0,0.0,False,100.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,SPSA,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-6.711409395973166e-05,-1.7874797964278793e-05,,-0.0,-1.7453358498697854e-05,0.0028434906419959093,0.0023503468190869837,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.00027586206896551774,-1.7874797964278793e-05,,-0.00025236593059936954,-2.448294082579264e-05,0.0033583989496628486,0.0023503468190869837,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.0016077170418006444,-1.7874797964278793e-05,,-0.0016181229773462795,-3.450495810601467e-05,0.00404012661094604,0.0023503468190869837,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.0010256410256410259,-1.7874797964278793e-05,,-0.0010526315789473703,-3.553864486105562e-05,0.004105293815031268,0.0023503468190869837,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.0002572347266881033,-1.7874797964278793e-05,,-0.002400000000000002,-5.0397846570093106e-05,0.0044734334620144195,0.0023503468190869837,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.0010000000000000005,-1.7874797964278793e-05,,-0.005644599303135895,-2.6313030430123255e-05,0.005002818334864617,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.0009937888198757782,-1.7874797964278793e-05,,-6.600660066006614e-05,-2.4349528020704244e-05,0.004308442667008015,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-6.250000000000011e-05,-1.7874797964278793e-05,,-0.001059602649006623,-2.2634906404058266e-05,0.005255743383302744,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.002300319488817893,-1.7874797964278793e-05,,-0.002553191489361704,-2.6073915729448253e-05,0.004962845545388667,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.003171521035598709,-1.7874797964278793e-05,,-0.000600000000000001,-1.9786727516165603e-05,0.004925048963940716,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.0061728395061728366,-1.7874797964278793e-05,,-6.825938566552913e-05,-2.717187544715413e-05,0.004990259226977022,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.0010774410774410793,-1.7874797964278793e-05,,-6.666666666666679e-05,-2.0137578710983876e-05,0.004630520490271421,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.002408026755852847,-1.7874797964278793e-05,,-0.0006185567010309289,-2.3178390199308846e-05,0.004649244884099185,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.00025559105431309954,-1.7874797964278793e-05,,-0.0,-3.52928880169191e-05,0.00574541349344367,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.002264150943396231,-1.7874797964278793e-05,,-0.002400000000000002,-1.859333056392211e-05,0.004668297317456508,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.0002787456445993036,-1.7874797964278793e-05,,-0.0011552346570397117,-2.272071233395998e-05,0.0048034992582430495,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.0023376623376623416,-1.7874797964278793e-05,,-0.0002539682539682544,-2.8398900714199475e-05,0.005222723371274534,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.0005882352941176482,-1.7874797964278793e-05,,-0.0066889632107023375,-2.283715219694747e-05,0.0050016417359941825,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.001644736842105266,-1.7874797964278793e-05,,-0.0016339869281045763,-2.4802376212090185e-05,0.004906683146273256,0.0023503468190869837,,,,,,,,,,,,,,,,,,,,,,,,
