Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_powell_1,simulator,-0.0052972972972973025,-0.0036442885338923456,,-0.0052972972972973025,-0.0036442885338923456,0.0005001098418146151,0.0005001098418146151,,linear_alternating,hnx,5.0,3.0,29.0,14.0,False,100.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,POWELL,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.015401069518716577,-0.0036442885338923456,,-0.3181818181818181,-0.17294756535462025,0.3137386972218805,0.0005001098418146151,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.03408695652173913,-0.01744787658407049,,-1.2326666666666677,-0.8988990098534319,0.6743983629588652,0.0036035102655151245,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.007441860465116287,-0.015358072747727571,,-0.7350000000000005,-0.6273588828263289,0.6003643918157372,0.007602397901410042,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.0,-0.01744787658407049,,,,,0.0036035102655151245,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.013061224489795933,-0.024699654252639806,,,,,0.005839657964398726,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.024693877551020402,-0.023175362744678005,,,,,0.006888684835211435,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.016241610738255034,-0.020493443482968127,,,,,0.007321662273500881,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.0561165048543689,-0.02360710077977746,,,,,0.006776489897339943,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.026915887850467293,-0.024440663239374542,,,,,0.006452329739526934,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.016260162601626008,-0.023919886113188495,,,,,0.00667850788570104,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.03435114503816795,-0.023441614851624257,,,,,0.006822078841358275,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.05070175438596489,-0.02376333685748477,,,,,0.006729768423781801,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.01446428571428573,-0.02360710077977746,,,,,0.006776489897339943,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.00727272727272728,-0.029638620383886777,,,,,0.014174057900046624,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.0005633802816901419,-0.002562764954190673,,,,,0.00019148903738148314,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.016528925619834704,-0.02360710077977746,,,,,0.006776489897339943,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.008235294117647068,-0.014282542336839045,,,,,0.002374093229503206,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.018518518518518507,-0.028012488378279354,,,,,0.009871970627813269,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.03843137254901962,-0.028974057561970308,,,,,0.010861951345981193,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.026915887850467286,-0.02983090848068706,,,,,0.012251052876439676,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.04545454545454546,-0.02927174910376866,,,,,0.01124295112044464,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.020408163265306114,-0.029392120573150295,,,,,0.011415757743343424,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.03448979591836736,-0.02916383086627177,,,,,0.011098281171144317,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.05115044247787608,-0.02931897929306359,,,,,0.011309155209046776,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.04368932038834954,-0.029348634215283848,,,,,0.011351744437090965,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.011011235955056192,-0.02931897929306359,,,,,0.011309155209046776,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.017052631578947392,-0.01429621176258019,,,,,0.0004389281281918651,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.004201680672268915,-0.0036735819976423307,,,,,0.0139943787855831,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.014883720930232575,-0.01429621176258019,,,,,0.0004389281281918651,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.0002531645569620258,-0.002732142562752256,,,,,0.0012843677285164638,,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.0478048780487805,-0.021825244827557946,,,,,0.0030687271533087076,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.021038961038961065,-0.025459297774158833,,,,,0.00573875396392977,,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.014411764705882365,-0.02080243012166508,,,,,0.002530794109117021,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.02531645569620252,-0.023323937497870793,,,,,0.004004233062340683,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.0,-0.02241319916640932,,,,,0.0034130441220455968,,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.003902439024390251,-0.02144045539786639,,,,,0.002857695055302949,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.18264150943396218,-0.022052035909503942,,,,,0.0031983089608453212,,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.0,-0.022190838837248074,,,,,0.003279594964063117,,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.024096385542168662,-0.021948096899661533,,,,,0.0031384298296269993,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.04558139534883721,-0.022052035909503942,,,,,0.0031983089608453212,,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.010888888888888901,-0.03482169794918056,,,,,0.00424490488372031,,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.002337662337662342,-3.8371275340404714e-06,,,,,0.0002435278658317723,,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.02987654320987654,-0.022052035909503942,,,,,0.0031983089608453212,,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.006493506493506499,-0.010432484243252176,,,,,0.001938479750754953,,,,,,,,,,,,,,,,,,,,,,,,
45,,,-0.011011235955056192,-0.02837469745920387,,,,,0.003803352690371035,,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.05090909090909092,-0.02035311715906896,,,,,0.0030252805192291263,,,,,,,,,,,,,,,,,,,,,,,,
47,,,-0.10239999999999994,-0.016536322862084053,,,,,0.002623615314684373,,,,,,,,,,,,,,,,,,,,,,,,
48,,,-0.00485436893203884,-0.014161857155487007,,,,,0.002364242580277874,,,,,,,,,,,,,,,,,,,,,,,,
49,,,-0.008089887640449446,-0.018005184228739913,,,,,0.002780315752301725,,,,,,,,,,,,,,,,,,,,,,,,
50,,,-0.05451612903225806,-0.015627247203297983,,,,,0.00252523764931222,,,,,,,,,,,,,,,,,,,,,,,,
51,,,-0.05357142857142858,-0.01709809132595867,,,,,0.002683867615435461,,,,,,,,,,,,,,,,,,,,,,,,
52,,,-0.0,-0.016359278577674018,,,,,0.0026045419506780625,,,,,,,,,,,,,,,,,,,,,,,,
53,,,-0.053698630136986315,-0.016750952288273765,,,,,0.0026466831863303252,,,,,,,,,,,,,,,,,,,,,,,,
54,,,-0.009000000000000006,-0.016618308854551855,,,,,0.0026324340149620033,,,,,,,,,,,,,,,,,,,,,,,,
55,,,-0.0263157894736842,-0.016468699040779893,,,,,0.0026163348840075214,,,,,,,,,,,,,,,,,,,,,,,,
56,,,-0.005555555555555559,-0.016536322862084053,,,,,0.002623615314684373,,,,,,,,,,,,,,,,,,,,,,,,
57,,,-0.04721311475409836,-0.021743509579292327,,,,,0.014431071224687914,,,,,,,,,,,,,,,,,,,,,,,,
58,,,-0.05297297297297298,-0.008316866840973073,,,,,0.02713376476201924,,,,,,,,,,,,,,,,,,,,,,,,
59,,,-0.034698795180722886,-0.016051943054398044,,,,,0.024996471569991737,,,,,,,,,,,,,,,,,,,,,,,,
60,,,-0.035714285714285705,-0.021743509579292327,,,,,0.014431071224687914,,,,,,,,,,,,,,,,,,,,,,,,
61,,,-0.0,-0.02098811901259701,,,,,0.009309228892655341,,,,,,,,,,,,,,,,,,,,,,,,
62,,,-0.0038095238095238113,-0.020736221573154835,,,,,0.019109584662218772,,,,,,,,,,,,,,,,,,,,,,,,
63,,,-0.0384,-0.021747669923994316,,,,,0.014295218046435795,,,,,,,,,,,,,,,,,,,,,,,,
64,,,-0.014065934065934083,-0.02166436541270328,,,,,0.012364065565366816,,,,,,,,,,,,,,,,,,,,,,,,
65,,,-0.04962025316455697,-0.021750775980114306,,,,,0.013731795802342172,,,,,,,,,,,,,,,,,,,,,,,,
66,,,-0.004444444444444445,-0.021733390454124684,,,,,0.013208765221049511,,,,,,,,,,,,,,,,,,,,,,,,
67,,,-0.049620253164556975,-0.021752272370377794,,,,,0.013947081939241128,,,,,,,,,,,,,,,,,,,,,,,,
68,,,-0.0002702702702702707,-0.021751559323871753,,,,,0.014078242673075524,,,,,,,,,,,,,,,,,,,,,,,,
69,,,-0.0064102564102564135,-0.021752272370377794,,,,,0.013947081939241128,,,,,,,,,,,,,,,,,,,,,,,,
70,,,-0.008205128205128214,-0.005246402671581532,,,,,0.010325562722798253,,,,,,,,,,,,,,,,,,,,,,,,
71,,,-0.0,-1.97593534384026e-06,,,,,0.0007013080644455748,,,,,,,,,,,,,,,,,,,,,,,,
72,,,-0.0010588235294117666,-0.005246402671581532,,,,,0.010325562722798253,,,,,,,,,,,,,,,,,,,,,,,,
73,,,-0.014261603375527426,-0.001697385374101789,,,,,0.00615514519652111,,,,,,,,,,,,,,,,,,,,,,,,
74,,,-0.002553191489361704,-0.0006333468937811771,,,,,0.003630417687506205,,,,,,,,,,,,,,,,,,,,,,,,
75,,,-0.0031441048034934523,-0.002105549810104146,,,,,0.006877069074200288,,,,,,,,,,,,,,,,,,,,,,,,
76,,,-7.575757575757589e-05,-0.0012426293940922205,,,,,0.005215967681970317,,,,,,,,,,,,,,,,,,,,,,,,
77,,,-0.0006976744186046524,-0.0015129449526650196,,,,,0.005793614274555741,,,,,,,,,,,,,,,,,,,,,,,,
78,,,-0.0012500000000000005,-0.0018463461164914107,,,,,0.006430267271517698,,,,,,,,,,,,,,,,,,,,,,,,
79,,,-0.007722007722007719,-0.0016253025829625811,,,,,0.006016731321941392,,,,,,,,,,,,,,,,,,,,,,,,
80,,,-0.007434944237918211,-0.0017572495822752898,,,,,0.006267431451490514,,,,,,,,,,,,,,,,,,,,,,,,
81,,,-0.0019379844961240323,-0.001697385374101789,,,,,0.00615514519652111,,,,,,,,,,,,,,,,,,,,,,,,
82,,,-0.004242424242424246,-0.001941647097115826,,,,,0.010674836296701712,,,,,,,,,,,,,,,,,,,,,,,,
83,,,-0.007363636363636372,-0.0006776569965928211,,,,,0.008055109619004349,,,,,,,,,,,,,,,,,,,,,,,,
84,,,-0.00035398230088495635,-0.0010455296272620714,,,,,0.009733799776170508,,,,,,,,,,,,,,,,,,,,,,,,
85,,,-0.0006949806949806962,-0.0006776569965928211,,,,,0.008055109619004349,,,,,,,,,,,,,,,,,,,,,,,,
86,,,-8.298755186722008e-05,-0.0004713563053004493,,,,,0.00018015515603580031,,,,,,,,,,,,,,,,,,,,,,,,
87,,,-0.005517241379310338,-6.529508476314205e-05,,,,,0.003317595128798615,,,,,,,,,,,,,,,,,,,,,,,,
88,,,-0.006153846153846161,-8.118223514432839e-06,,,,,0.002184323894477242,,,,,,,,,,,,,,,,,,,,,,,,
89,,,-0.005378151260504207,-3.685495453334797e-05,,,,,0.000713872522658528,,,,,,,,,,,,,,,,,,,,,,,,
90,,,-0.0007287449392712564,-1.725063190379341e-06,,,,,0.001885814787135162,,,,,,,,,,,,,,,,,,,,,,,,
91,,,-0.0013502109704641356,-2.3536739835641683e-05,,,,,0.002597906018699524,,,,,,,,,,,,,,,,,,,,,,,,
92,,,-0.0018867924528301924,-1.3543496461883816e-05,,,,,0.002352713071571514,,,,,,,,,,,,,,,,,,,,,,,,
93,,,-0.00035398230088495635,-8.118223514432839e-06,,,,,0.002184323894477242,,,,,,,,,,,,,,,,,,,,,,,,
94,,,-0.010869565217391297,-0.0004827551226883274,,,,,0.00807766164743172,,,,,,,,,,,,,,,,,,,,,,,,
95,,,-0.03237668161434977,-0.0013043828596610864,,,,,0.012218630483690419,,,,,,,,,,,,,,,,,,,,,,,,
96,,,-0.0024161073825503376,-0.00019204486019022614,,,,,0.0001097800706645978,,,,,,,,,,,,,,,,,,,,,,,,
97,,,-0.0015384615384615391,-0.0013043828596610864,,,,,0.012218630483690419,,,,,,,,,,,,,,,,,,,,,,,,
98,,,-0.0,-0.0009672032086480149,,,,,0.007745372948271861,,,,,,,,,,,,,,,,,,,,,,,,
99,,,-0.001641025641025642,-0.001208773289112476,,,,,0.01232325129817203,,,,,,,,,,,,,,,,,,,,,,,,
100,,,-0.000869565217391306,-0.001278773068642497,,,,,0.01255531468263951,,,,,,,,,,,,,,,,,,,,,,,,
101,,,-0.00043010752688172124,-0.0009849917998992486,,,,,0.011236952377190313,,,,,,,,,,,,,,,,,,,,,,,,
102,,,-0.0059036144578313325,-0.0011370713724720447,,,,,0.012005127475965426,,,,,,,,,,,,,,,,,,,,,,,,
103,,,-0.012670157068062828,-0.0010838327664820049,,,,,0.011747208907114205,,,,,,,,,,,,,,,,,,,,,,,,
104,,,-0.004137931034482762,-0.0010478101526771601,,,,,0.011565469126347665,,,,,,,,,,,,,,,,,,,,,,,,
105,,,-0.0,-0.0010968605651289502,,,,,0.011811594693812653,,,,,,,,,,,,,,,,,,,,,,,,
106,,,-9.85221674876849e-05,-0.0010703422157427064,,,,,0.011679762540104605,,,,,,,,,,,,,,,,,,,,,,,,
107,,,-0.00011111111111111132,-0.0010838327664820049,,,,,0.011747208907114205,,,,,,,,,,,,,,,,,,,,,,,,
108,,,-0.0009574468085106401,-0.0009821523702801484,,,,,0.003367357507672818,,,,,,,,,,,,,,,,,,,,,,,,
109,,,-0.012576419213973799,-0.0002031313806031277,,,,,0.0021783410662739766,,,,,,,,,,,,,,,,,,,,,,,,
110,,,-0.00011235955056179797,-0.0006396778076585554,,,,,0.01756746153866455,,,,,,,,,,,,,,,,,,,,,,,,
111,,,-0.01174757281553398,-0.0002031313806031277,,,,,0.0021783410662739766,,,,,,,,,,,,,,,,,,,,,,,,
112,,,-0.001641025641025642,-1.673545203489783e-06,,,,,0.010150437844691747,,,,,,,,,,,,,,,,,,,,,,,,
113,,,-0.0008000000000000014,-0.0005008005321372675,,,,,4.269547475890448e-05,,,,,,,,,,,,,,,,,,,,,,,,
114,,,-0.0026737967914438523,-0.00012617267670974214,,,,,0.0035110216560298255,,,,,,,,,,,,,,,,,,,,,,,,
115,,,-0.0016753926701570687,-0.0003075533850281331,,,,,0.0010024715162877148,,,,,,,,,,,,,,,,,,,,,,,,
116,,,-0.0016931216931216964,-0.00021393147286934564,,,,,0.0020282633651553385,,,,,,,,,,,,,,,,,,,,,,,,
117,,,-9.756097560975628e-05,-0.00016727811635481004,,,,,0.0027356295218158543,,,,,,,,,,,,,,,,,,,,,,,,
118,,,-0.000932642487046634,-0.00018911248521562523,,,,,0.0023849008825459522,,,,,,,,,,,,,,,,,,,,,,,,
119,,,-0.003396226415094343,-0.0002031313806031277,,,,,0.0021783410662739766,,,,,,,,,,,,,,,,,,,,,,,,
120,,,-0.0007964601769911519,-2.7878435465535733e-06,,,,,0.009957988156440088,,,,,,,,,,,,,,,,,,,,,,,,
121,,,-0.0009230769230769247,-0.001060109768202111,,,,,0.003201352329699417,,,,,,,,,,,,,,,,,,,,,,,,
122,,,-0.0009523809523809542,-0.0002031313806031277,,,,,0.0021783410662739766,,,,,,,,,,,,,,,,,,,,,,,,
123,,,-0.0028409090909090953,-0.0005450529576278923,,,,,5.1021545097079235e-05,,,,,,,,,,,,,,,,,,,,,,,,
124,,,-0.0004000000000000007,-0.0007786925064741891,,,,,0.00031938767992725786,,,,,,,,,,,,,,,,,,,,,,,,
125,,,-0.005025641025641019,-0.00045496178787728114,,,,,0.00028116623871829823,,,,,,,,,,,,,,,,,,,,,,,,
126,,,-0.0017777777777777807,-0.00038343923946943404,,,,,0.0006073860975794033,,,,,,,,,,,,,,,,,,,,,,,,
127,,,-0.00518518518518519,-0.00047044345216434494,,,,,0.00022789684911722868,,,,,,,,,,,,,,,,,,,,,,,,
128,,,-0.0035121951219512226,-0.0004735532874921452,,,,,0.00021790354077100285,,,,,,,,,,,,,,,,,,,,,,,,
129,,,-0.00659793814432989,-0.0004628624435209041,,,,,0.0002532453530587372,,,,,,,,,,,,,,,,,,,,,,,,
130,,,-0.0016080402010050256,-0.0004657845169315724,,,,,0.00024330840660223387,,,,,,,,,,,,,,,,,,,,,,,,
131,,,-0.003934426229508201,-0.00045994436726232494,,,,,0.00026337815239687294,,,,,,,,,,,,,,,,,,,,,,,,
132,,,-0.002512562814070354,-0.0004628624435209041,,,,,0.0002532453530587372,,,,,,,,,,,,,,,,,,,,,,,,
133,,,-0.0021276595744680864,-0.0001257131498233309,,,,,9.44353098904954e-05,,,,,,,,,,,,,,,,,,,,,,,,
134,,,-0.0003149606299212605,-0.000517971498786624,,,,,0.0003025888086268291,,,,,,,,,,,,,,,,,,,,,,,,
135,,,-0.0,-0.0004628624435209041,,,,,0.0002532453530587372,,,,,,,,,,,,,,,,,,,,,,,,
136,,,-0.00680851063829788,-0.0006097361086680739,,,,,0.00031878225731016995,,,,,,,,,,,,,,,,,,,,,,,,
137,,,-0.0001081081081081083,-0.0006190019786573758,,,,,0.0003317265106933937,,,,,,,,,,,,,,,,,,,,,,,,
138,,,-0.0008653846153846169,-0.0005936728533206651,,,,,0.00031030219948348673,,,,,,,,,,,,,,,,,,,,,,,,
139,,,-0.022400000000000003,-0.000620207013923804,,,,,0.00032571152029956267,,,,,,,,,,,,,,,,,,,,,,,,
140,,,-0.007111111111111103,-0.0006231537396450182,,,,,0.0003292611898807623,,,,,,,,,,,,,,,,,,,,,,,,
141,,,-0.0024154589371980697,-0.0006193926461734067,,,,,0.00032504981598493744,,,,,,,,,,,,,,,,,,,,,,,,
142,,,-0.0015311004784689002,-0.0006218436008951453,,,,,0.0003272477470872731,,,,,,,,,,,,,,,,,,,,,,,,
143,,,-0.0010112359550561814,-0.0006209072000380778,,,,,0.00032632444992473523,,,,,,,,,,,,,,,,,,,,,,,,
144,,,-0.0030864197530864218,-0.000620207013923804,,,,,0.00032571152029956267,,,,,,,,,,,,,,,,,,,,,,,,
145,,,-0.0023696682464454995,-0.0008430638649395528,,,,,0.00011698027950007935,,,,,,,,,,,,,,,,,,,,,,,,
146,,,-0.000932642487046634,-4.7042674837584876e-05,,,,,0.0027758091778577686,,,,,,,,,,,,,,,,,,,,,,,,
147,,,-0.0,-0.000620207013923804,,,,,0.00032571152029956267,,,,,,,,,,,,,,,,,,,,,,,,
148,,,-0.009101123595505628,-0.0003792783789292604,,,,,0.001162840907091742,,,,,,,,,,,,,,,,,,,,,,,,
149,,,-0.001711229946524065,-0.00022947899639841796,,,,,0.0018055742010594817,,,,,,,,,,,,,,,,,,,,,,,,
150,,,-0.0023696682464455017,-0.0004169836732869872,,,,,0.0010149810465866686,,,,,,,,,,,,,,,,,,,,,,,,
151,,,-9.433962264150962e-05,-0.0003225414493653656,,,,,0.001395649201887755,,,,,,,,,,,,,,,,,,,,,,,,
152,,,-0.00010101010101010119,-0.00035750072416483353,,,,,0.0012507363409787428,,,,,,,,,,,,,,,,,,,,,,,,
153,,,-0.012410256410256407,-0.0003936745019587752,,,,,0.0011057375831741046,,,,,,,,,,,,,,,,,,,,,,,,
154,,,-0.00011494252873563241,-0.00039131054442020463,,,,,0.001115059614902527,,,,,,,,,,,,,,,,,,,,,,,,
155,,,-0.002717391304347831,-0.0003960387486359825,,,,,0.0010964359990451374,,,,,,,,,,,,,,,,,,,,,,,,
156,,,-0.005104166666666671,-0.0003936745019587752,,,,,0.0011057375831741046,,,,,,,,,,,,,,,,,,,,,,,,
157,,,-0.0009890109890109905,-0.00037552950722221864,,,,,0.00036192222160655877,,,,,,,,,,,,,,,,,,,,,,,,
158,,,-0.0,-0.00011724090417228135,,,,,0.009160425282030349,,,,,,,,,,,,,,,,,,,,,,,,
159,,,-0.003654822335025383,-0.0003936745019587752,,,,,0.0011057375831741046,,,,,,,,,,,,,,,,,,,,,,,,
160,,,-0.010309278350515459,-0.0003098150314524442,,,,,0.003875936702706645,,,,,,,,,,,,,,,,,,,,,,,,
161,,,-0.0009729729729729747,-0.0002374313622948545,,,,,0.005988920216557399,,,,,,,,,,,,,,,,,,,,,,,,
162,,,-0.0017877094972067046,-0.0003359933021380562,,,,,0.0030676753707406246,,,,,,,,,,,,,,,,,,,,,,,,
163,,,-0.005240641711229953,-0.0002832449897165824,,,,,0.004669775350542349,,,,,,,,,,,,,,,,,,,,,,,,
164,,,-0.0024752475247524766,-0.00032012454866240417,,,,,0.0035611389828238958,,,,,,,,,,,,,,,,,,,,,,,,
165,,,-0.0015920398009950276,-0.00029987416940036645,,,,,0.004175715613090196,,,,,,,,,,,,,,,,,,,,,,,,
166,,,-0.0,-0.0003137948819665003,,,,,0.003754906534287288,,,,,,,,,,,,,,,,,,,,,,,,
167,,,-0.004974619289340106,-0.00030605109330694046,,,,,0.003989857565879402,,,,,,,,,,,,,,,,,,,,,,,,
168,,,-0.007570093457943935,-0.0003113411351065874,,,,,0.0038295978073846987,,,,,,,,,,,,,,,,,,,,,,,,
169,,,-0.0008294930875576052,-0.0003083823232821121,,,,,0.003919360767505596,,,,,,,,,,,,,,,,,,,,,,,,
170,,,-0.0,-0.0003098150314524442,,,,,0.003875936702706645,,,,,,,,,,,,,,,,,,,,,,,,
171,,,-0.00033898305084745825,-3.078445574162104e-05,,,,,0.004085260976061676,,,,,,,,,,,,,,,,,,,,,,,,
172,,,-0.0027932960893854767,-0.00019697747715801623,,,,,0.0012117280842181412,,,,,,,,,,,,,,,,,,,,,,,,
173,,,-0.0154140127388535,-0.0008781658003109234,,,,,0.001957128816900667,,,,,,,,,,,,,,,,,,,,,,,,
174,,,-0.00800000000000001,-0.0004608627797283171,,,,,0.0003196155222215283,,,,,,,,,,,,,,,,,,,,,,,,
175,,,-0.005034965034965038,-0.0008781658003109234,,,,,0.001957128816900667,,,,,,,,,,,,,,,,,,,,,,,,
176,,,-0.000334728033472804,-0.00011329235027773322,,,,,0.004249553780243392,,,,,,,,,,,,,,,,,,,,,,,,
177,,,-0.004347826086956529,-0.0010368341150898267,,,,,0.00025165955341547994,,,,,,,,,,,,,,,,,,,,,,,,
178,,,-0.00927536231884057,-0.0009973855249923783,,,,,0.0014390143730185821,,,,,,,,,,,,,,,,,,,,,,,,
179,,,-0.00014598540145985427,-0.0010700842795809877,,,,,0.000988046383975377,,,,,,,,,,,,,,,,,,,,,,,,
180,,,-0.0016363636363636391,-0.000955883616333502,,,,,0.0016336044389038205,,,,,,,,,,,,,,,,,,,,,,,,
181,,,-0.005142857142857152,-0.0010307014674269626,,,,,0.0012608569915326412,,,,,,,,,,,,,,,,,,,,,,,,
182,,,-0.001363636363636366,-0.0009973855249923783,,,,,0.0014390143730185821,,,,,,,,,,,,,,,,,,,,,,,,
183,,,-0.026315789473684202,-7.0404977962815e-05,,,,,0.024221148260415507,,,,,,,,,,,,,,,,,,,,,,,,
184,,,-0.007912087912087917,-0.0016679847283422506,,,,,0.0656927327240464,,,,,,,,,,,,,,,,,,,,,,,,
185,,,-0.00022471910112359595,-7.0404977962815e-05,,,,,0.024221148260415507,,,,,,,,,,,,,,,,,,,,,,,,
186,,,-0.0023684210526315826,-0.0001692869577034346,,,,,0.0444513617937371,,,,,,,,,,,,,,,,,,,,,,,,
187,,,-0.0045714285714285735,-0.0006756530459673197,,,,,0.05533058875009163,,,,,,,,,,,,,,,,,,,,,,,,
188,,,-0.007659574468085113,-0.0010715667002703896,,,,,0.060548053957736055,,,,,,,,,,,,,,,,,,,,,,,,
189,,,-0.0002352941176470593,-0.0013138839135416155,,,,,0.06303138997782604,,,,,,,,,,,,,,,,,,,,,,,,
190,,,-0.03272727272727272,-0.000918557029899878,,,,,0.058719662561398996,,,,,,,,,,,,,,,,,,,,,,,,
191,,,-0.00022471910112359595,-0.0008769414588264697,,,,,0.0581846036239699,,,,,,,,,,,,,,,,,,,,,,,,
192,,,-0.009863013698630145,-0.0009549697348331307,,,,,0.05917411783824671,,,,,,,,,,,,,,,,,,,,,,,,
193,,,-0.0,-0.000918557029899878,,,,,0.058719662561398996,,,,,,,,,,,,,,,,,,,,,,,,
194,,,-0.0020000000000000035,-0.00012362236628820736,,,,,0.02152364829687475,,,,,,,,,,,,,,,,,,,,,,,,
195,,,-0.004186046511627914,-0.00016154429412068515,,,,,0.004921928989711714,,,,,,,,,,,,,,,,,,,,,,,,
196,,,-0.006666666666666678,-0.0010188417491043356,,,,,0.06810013701228682,,,,,,,,,,,,,,,,,,,,,,,,
197,,,-0.00660550458715597,-2.3105636363198217e-05,,,,,0.010612086434607784,,,,,,,,,,,,,,,,,,,,,,,,
198,,,-0.01833333333333333,-0.0010188417491043356,,,,,0.06810013701228682,,,,,,,,,,,,,,,,,,,,,,,,
199,,,-0.01113636363636362,-0.0013176392164806205,,,,,0.073467291642413,,,,,,,,,,,,,,,,,,,,,,,,
200,,,-0.00012738853503184737,-0.0006310734287659012,,,,,0.0435657718003028,,,,,,,,,,,,,,,,,,,,,,,,
201,,,-0.002622950819672136,-0.0012243080368823517,,,,,0.07576350523240914,,,,,,,,,,,,,,,,,,,,,,,,
202,,,-0.01819548872180451,-0.0008662215652352116,,,,,0.05992937239599328,,,,,,,,,,,,,,,,,,,,,,,,
203,,,-0.002539682539682541,-0.0009725326979141307,,,,,0.06583430648593243,,,,,,,,,,,,,,,,,,,,,,,,
204,,,-0.0017142857142857177,-0.0010434104026716775,,,,,0.0692254383415355,,,,,,,,,,,,,,,,,,,,,,,,
205,,,-0.002580645161290324,-0.0010188417491043356,,,,,0.06810013701228682,,,,,,,,,,,,,,,,,,,,,,,,
206,,,-0.0,-5.854465452964241e-07,,,,,0.018831329381140974,,,,,,,,,,,,,,,,,,,,,,,,
207,,,-0.004931506849315077,-0.0038104030388137907,,,,,0.10153985616255295,,,,,,,,,,,,,,,,,,,,,,,,
208,,,-0.017777777777777778,-0.0031180382698836094,,,,,0.06990360546314585,,,,,,,,,,,,,,,,,,,,,,,,
