Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_powell_1,simulator,-0.005707629586488066,-0.006488082667642761,,-0.005707629586488066,-0.006488082667642761,0.038350507552554695,0.038350507552554695,,linear_alternating,hnx,5.0,3.0,29.0,1.0,False,1000.0,13.0,0.0,SatoLiu21,HTest,Sato21_Innerp,POWELL,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.008466442953020133,-0.006488082667642761,,-2.7710459770115006,-2.220224464847745,0.8414119919561626,0.038350507552554695,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,-0.0010547215496368005,-0.0033021672937998564,,-3.235561643835623,-2.988693612505619,0.8244462970257986,0.033529153884176814,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,-0.0022100719424460445,-0.003986190711499694,,,,,0.013967843987607741,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,-0.0035999999999999956,-0.006488082667642761,,,,,0.038350507552554695,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,-0.004494903737259339,-0.006712515235112806,,,,,0.032191650477430105,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,-0.008402489626556027,-0.005964675932047313,,,,,0.025795354607566132,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.005066331658291454,-0.0052726557025107494,,,,,0.021319086337379344,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.005794708994709001,-0.006120487016154222,,,,,0.026908420407792028,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.007439524838012959,-0.005741934090539137,,,,,0.024286796956841435,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.006642449403217445,-0.005897877745361858,,,,,0.02533402145804477,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.006715231788079477,-0.006025546676835251,,,,,0.026223542824780417,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-0.004411139240506333,-0.005938154933839054,,,,,0.025611173948952175,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.01255919661733615,-0.005990905418804538,,,,,0.02597890079395241,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-0.0038834951456310713,-0.005990905418804538,,,,,0.02597890079395241,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.0003027253668763108,-0.0006575185388101598,,,,,0.020733909132307972,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.018680483592400685,-0.021374461923212018,,,,,0.01153643340288283,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.0011489361702127661,-0.0007236409016573738,,,,,0.007814302003935767,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.021043478260869563,-0.021374461923212018,,,,,0.01153643340288283,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.01319450800915332,-0.013829981375746772,,,,,0.001338624827433431,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.01587185354691075,-0.016759268413700495,,,,,0.01929439761037122,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.021981498612395924,-0.021440189541340863,,,,,0.010146763334802739,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.025617900172117042,-0.019928963585874912,,,,,0.006073707038670279,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.008250409165302777,-0.017927227709856955,,,,,0.003927854783264758,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.0211519313304721,-0.02079707214525489,,,,,0.007559482474352914,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.012266553480475381,-0.019240006584435955,,,,,0.005212471256611793,,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.024794242167654534,-0.020298989430909416,,,,,0.006628728076324596,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.012368043087971273,-0.019678347286311713,,,,,0.005739151479992735,,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.029467625899280578,-0.020088380315344167,,,,,0.0063026081515581795,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.023934395501405813,-0.020088380315344167,,,,,0.0063026081515581795,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.003258149779735676,-0.005215439770502971,,,,,0.0007837693821447216,,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.03325473321858865,-0.028557782642056856,,,,,0.04088694493637107,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.038565074135090624,-0.02993640480390575,,,,,0.035085230671710856,,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.04342663273960982,-0.02993640480390575,,,,,0.035085230671710856,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.02588552188552188,-0.02910307877465246,,,,,0.02353874984980928,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.02634907251264755,-0.03009398769540065,,,,,0.030853787630617097,,,,,,,,,,,,,,,,,,,,,,,,
36,,,-0.0289195020746888,-0.02956630993377773,,,,,0.03745339966727153,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.039811224489795925,-0.030002585785571165,,,,,0.0344051640536393,,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.022207336523125995,-0.029889211751976758,,,,,0.03548768340290594,,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.02906724890829695,-0.029965550576135563,,,,,0.03480660079152127,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.042311297071129704,-0.02993640480390575,,,,,0.035085230671710856,,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.001377855887521971,-0.000798345021247661,,,,,0.007387715036298648,,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.10911340206185569,-0.10062064846784263,,,,,0.2571670447461391,,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.030625506072874495,-0.020120803255821544,,,,,0.12140689696855854,,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.10627813357731014,-0.10062064846784263,,,,,0.2571670447461391,,,,,,,,,,,,,,,,,,,,,,,,
45,,,-0.10565853658536584,-0.10155701820368733,,,,,0.30562899416187006,,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.08700251046025102,-0.07770219930532656,,,,,0.17198663488996277,,,,,,,,,,,,,,,,,,,,,,,,
47,,,-0.1395996112730807,-0.10791644712633289,,,,,0.29837385987383636,,,,,,,,,,,,,,,,,,,,,,,,
48,,,-0.11158693563880884,-0.10795638674537794,,,,,0.2994523826516355,,,,,,,,,,,,,,,,,,,,,,,,
49,,,-0.0936315307057745,-0.1059150261418183,,,,,0.2825493989845225,,,,,,,,,,,,,,,,,,,,,,,,
50,,,-0.09186330935251796,-0.10748550127184407,,,,,0.2931887944450919,,,,,,,,,,,,,,,,,,,,,,,,
51,,,-0.10041791044776117,-0.10780184379865373,,,,,0.2965225942344327,,,,,,,,,,,,,,,,,,,,,,,,
52,,,-0.10449530956848031,-0.10791644712633289,,,,,0.29837385987383636,,,,,,,,,,,,,,,,,,,,,,,,
53,,,-0.0512277056277056,-0.05849047452344624,,,,,0.17310832685426678,,,,,,,,,,,,,,,,,,,,,,,,
54,,,-0.08454148471615719,-0.07887981246454304,,,,,0.2233172402970704,,,,,,,,,,,,,,,,,,,,,,,,
55,,,-0.10361163227016887,-0.10791644712633289,,,,,0.29837385987383636,,,,,,,,,,,,,,,,,,,,,,,,
56,,,-0.13591801715919927,-0.11400746648879902,,,,,0.31418208299971545,,,,,,,,,,,,,,,,,,,,,,,,
57,,,-0.11396610169491528,-0.10596374440613722,,,,,0.2944925063435358,,,,,,,,,,,,,,,,,,,,,,,,
58,,,-0.11187010506208214,-0.11454437063393241,,,,,0.3153905792180787,,,,,,,,,,,,,,,,,,,,,,,,
59,,,-0.11107462686567163,-0.11169233808744043,,,,,0.3086690479093617,,,,,,,,,,,,,,,,,,,,,,,,
60,,,-0.11922202166064982,-0.11330232505613749,,,,,0.31253158466836745,,,,,,,,,,,,,,,,,,,,,,,,
61,,,-0.09081628959276017,-0.11424981661334428,,,,,0.3147366812976561,,,,,,,,,,,,,,,,,,,,,,,,
62,,,-0.08989878163074037,-0.11376473088089499,,,,,0.31361869616421906,,,,,,,,,,,,,,,,,,,,,,,,
63,,,-0.10659272097053726,-0.11410544371121531,,,,,0.3144074562676089,,,,,,,,,,,,,,,,,,,,,,,,
64,,,-0.11385888993414864,-0.11391865418352455,,,,,0.31397669881646656,,,,,,,,,,,,,,,,,,,,,,,,
65,,,-0.12347031963470322,-0.11400746648879902,,,,,0.31418208299971545,,,,,,,,,,,,,,,,,,,,,,,,
66,,,-0.06823411371237458,-0.07031272096364388,,,,,0.2777173422833555,,,,,,,,,,,,,,,,,,,,,,,,
67,,,-0.06139517896274656,-0.05581776877822618,,,,,0.11150174150912447,,,,,,,,,,,,,,,,,,,,,,,,
68,,,-0.14336492890995264,-0.11400746648879902,,,,,0.31418208299971545,,,,,,,,,,,,,,,,,,,,,,,,
69,,,-0.09791529818496109,-0.10696769818380093,,,,,0.2618492824250841,,,,,,,,,,,,,,,,,,,,,,,,
70,,,-0.12341996233521656,-0.10351732826337423,,,,,0.3183447465212604,,,,,,,,,,,,,,,,,,,,,,,,
71,,,-0.1168426862925483,-0.11421287416942841,,,,,0.31347864416271687,,,,,,,,,,,,,,,,,,,,,,,,
72,,,-0.09803454894433779,-0.11026266660995125,,,,,0.31908901838861287,,,,,,,,,,,,,,,,,,,,,,,,
73,,,-0.09774650512581547,-0.11289035768473465,,,,,0.31668921796764427,,,,,,,,,,,,,,,,,,,,,,,,
74,,,-0.12039180765805878,-0.11362751239777352,,,,,0.31523112830854677,,,,,,,,,,,,,,,,,,,,,,,,
75,,,-0.11513649025069639,-0.11386920126405214,,,,,0.31459605505442817,,,,,,,,,,,,,,,,,,,,,,,,
76,,,-0.10745950864422205,-0.11408855406174707,,,,,0.3139184223690353,,,,,,,,,,,,,,,,,,,,,,,,
77,,,-0.13112606635071092,-0.11395565755799865,,,,,0.3143421388878607,,,,,,,,,,,,,,,,,,,,,,,,
78,,,-0.11511132075471697,-0.11403882227751806,,,,,0.3140821082840804,,,,,,,,,,,,,,,,,,,,,,,,
