Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,49.378895809175425,49.378895809175425,0.9999999999999998,49.378895809175425,49.378895809175425,0.008134106874979254,0.008134106874979254,0.008134106874979254,linear_alternating,hnx,8.0,2.0,36.0,4.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,21.08738908800455,21.08738908800455,1.0000000000000002,21.08738908800455,21.08738908800455,0.020353356357299554,0.020353356357299554,0.020353356357299554,,,,,,,,,,,,,,,,,,,,,,,
2,,,27.537159666732546,27.537159666732546,1.0,11.54061651903102,11.54061651903102,0.05177933101790889,0.04460639336833886,0.04460639336833886,,,,,,,,,,,,,,,,,,,,,,,
3,,,11.54061651903102,11.54061651903102,0.9999999999999998,4.519882465530316,4.519882465530316,0.10993722990211242,0.05177933101790889,0.05177933101790889,,,,,,,,,,,,,,,,,,,,,,,
4,,,4.519882465530316,4.519882465530316,1.0,0.8927765601583778,0.8927765601583778,0.29798433763248183,0.10993722990211242,0.10993722990211242,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.8927765601583778,0.8927765601583778,1.0,-1.6562596345843028,-1.6562596345843028,0.36185100813545595,0.29798433763248183,0.29798433763248183,,,,,,,,,,,,,,,,,,,,,,,
6,,,-1.6562596345843028,-1.6562596345843028,1.0,-2.2579701389417486,-2.2579701389417486,0.4169475333491676,0.36185100813545595,0.36185100813545595,,,,,,,,,,,,,,,,,,,,,,,
7,,,-2.2579701389417486,-2.2579701389417486,1.0,-2.8236942097361157,-2.8236942097361157,0.5325383836465883,0.4169475333491676,0.4169475333491676,,,,,,,,,,,,,,,,,,,,,,,
8,,,-2.8236942097361157,-2.8236942097361157,1.0,-3.6050335038520886,-3.6050335038520886,0.7243621706159797,0.5325383836465883,0.5325383836465883,,,,,,,,,,,,,,,,,,,,,,,
9,,,-3.6050335038520886,-3.6050335038520886,1.0,-4.041664731273343,-4.041664731273343,0.779653787759797,0.7243621706159797,0.7243621706159797,,,,,,,,,,,,,,,,,,,,,,,
