Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,0.5650747686334445,0.5650747686334445,1.0,0.5650747686334445,0.5650747686334445,0.03246019783059312,0.03246019783059312,0.03246019783059312,linear_alternating,hnx,3.0,3.0,15.0,8.0,True,1000.0,,,exact,Statevec,BravoPrieto20_Local,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.3565912836968568,0.3565912836968568,0.9999999999999999,0.3565912836968568,0.3565912836968568,0.0218240579211449,0.0218240579211449,0.0218240579211449,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.34517350508560823,0.34517350508560823,1.0,0.34517350508560823,0.34517350508560823,0.013972387230780864,0.013972387230780864,0.013972387230780864,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.336625610969173,0.336625610969173,1.0000000000000002,0.336625610969173,0.336625610969173,0.015518731738303895,0.015518731738303895,0.015518731738303895,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.3351197234969474,0.3351197234969474,1.0,0.3351197234969474,0.3351197234969474,0.015957434280992507,0.015957434280992507,0.015957434280992507,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.3338519324396289,0.3338519324396289,1.0000000000000002,0.3338519324396289,0.3338519324396289,0.01674974652698179,0.01674974652698179,0.01674974652698179,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.33328097073390783,0.33328097073390783,1.0000000000000002,0.33328097073390783,0.33328097073390783,0.021584934720497707,0.021584934720497707,0.021584934720497707,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.33302957003157624,0.33302957003157624,1.0,0.33302957003157624,0.33302957003157624,0.03593042537352163,0.03593042537352163,0.03593042537352163,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.3328645509905372,0.3328645509905372,1.0000000000000002,0.3328645509905372,0.3328645509905372,0.06131605746554813,0.06131605746554813,0.06131605746554813,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.33247565450584576,0.33247565450584576,1.0,0.32779917516827756,0.32779917516827756,0.668497345068864,0.14067030086892438,0.14067030086892438,,,,,,,,,,,,,,,,,,,,,,,
