Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,-0.0008684684101875023,-0.0008684684101875023,1.0,-0.0008684684101875023,-0.0008684684101875023,0.0017800958645982003,0.0017800958645982003,0.0017800958645982003,linear_alternating,hnx,5.0,1.0,13.0,0.0,True,1000.0,,,exact,Statevec,Sato21_Innerp,L_BFGS_B,ry,cx,rx,rzz,ryy,hadamards,True,False,False
1,,,-0.0261404799531413,-0.0261404799531413,0.9999999999999998,-0.6602891484780384,-0.6602891484780384,0.48609930487673925,0.019922642417702602,0.019922642417702602,,,,,,,,,,,,,,,,,,,,,,,
2,,,-0.08744125684306732,-0.08744125684306732,1.0000000000000002,-0.66030395346303,-0.66030395346303,0.48676317831678945,0.2625226397293425,0.2625226397293425,,,,,,,,,,,,,,,,,,,,,,,
3,,,-0.18241454027505621,-0.18241454027505621,1.0,-0.7782468281814221,-0.7782468281814221,0.6787814994860528,0.1766535147010945,0.1766535147010945,,,,,,,,,,,,,,,,,,,,,,,
4,,,-0.4817774300747669,-0.4817774300747669,1.0,-2.484671782921998,-2.484671782921998,0.7486629361176762,0.5117527529321177,0.5117527529321177,,,,,,,,,,,,,,,,,,,,,,,
5,,,-0.46870620621261966,-0.46870620621261966,1.0000000000000002,-2.5413783421852405,-2.5413783421852405,0.7640402592446792,0.35886403949667045,0.35886403949667045,,,,,,,,,,,,,,,,,,,,,,,
6,,,-0.6602589722839348,-0.6602589722839348,1.0,-2.8325399133898284,-2.8325399133898284,0.8316982379054813,0.4869411906431862,0.4869411906431862,,,,,,,,,,,,,,,,,,,,,,,
7,,,-0.6602891484780384,-0.6602891484780384,1.0,-3.021243996646314,-3.021243996646314,0.8694210953578102,0.48609930487673925,0.48609930487673925,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.023668334750472645,-0.023668334750472645,0.9999999999999999,-3.30933118613165,-3.30933118613165,0.8877518012911714,0.11465608926704018,0.11465608926704018,,,,,,,,,,,,,,,,,,,,,,,
9,,,-0.6602895486941995,-0.6602895486941995,0.9999999999999998,-3.5636202061822284,-3.5636202061822284,0.9035814518323073,0.4874117424056077,0.4874117424056077,,,,,,,,,,,,,,,,,,,,,,,
10,,,-0.66030395346303,-0.66030395346303,0.9999999999999998,-3.642837300535919,-3.642837300535919,0.9070653461100349,0.48676317831678945,0.48676317831678945,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.7442327973623389,-0.7442327973623389,1.0,-3.717657908137424,-3.717657908137424,0.9107148733344199,0.5060379638812242,0.5060379638812242,,,,,,,,,,,,,,,,,,,,,,,
12,,,-1.1226650848692095,-1.1226650848692095,1.0,-3.8111234925869177,-3.8111234925869177,0.9122623385323262,0.5772893925024929,0.5772893925024929,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.7782468281814221,-0.7782468281814221,1.0000000000000002,-3.844640093882598,-3.844640093882598,0.9149688467533343,0.6787814994860528,0.6787814994860528,,,,,,,,,,,,,,,,,,,,,,,
14,,,-2.4043203228641397,-2.4043203228641397,0.9999999999999999,-3.871303733044033,-3.871303733044033,0.9217988682352973,0.7488429268386091,0.7488429268386091,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.05245421507746557,-0.05245421507746557,1.0000000000000002,-3.883688371697307,-3.883688371697307,0.9273351354221159,0.15810550381612784,0.15810550381612784,,,,,,,,,,,,,,,,,,,,,,,
16,,,-1.8523546592533127,-1.8523546592533127,1.0000000000000002,-3.897402710183168,-3.897402710183168,0.9363077506366851,0.7274911822513248,0.7274911822513248,,,,,,,,,,,,,,,,,,,,,,,
17,,,-2.484671782921998,-2.484671782921998,0.9999999999999998,-3.901338120833305,-3.901338120833305,0.939388758859591,0.7486629361176762,0.7486629361176762,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.734502975657414,-0.734502975657414,1.0,-3.904704403760786,-3.904704403760786,0.9420446429733368,0.7570272235388539,0.7570272235388539,,,,,,,,,,,,,,,,,,,,,,,
19,,,-2.5413783421852405,-2.5413783421852405,1.0,-3.9053512300751048,-3.9053512300751048,0.9426630498577849,0.7640402592446792,0.7640402592446792,,,,,,,,,,,,,,,,,,,,,,,
20,,,-2.8325399133898284,-2.8325399133898284,1.0,-3.9078158218528345,-3.9078158218528345,0.9433998290207912,0.8316982379054813,0.8316982379054813,,,,,,,,,,,,,,,,,,,,,,,
