Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_aer_nft_hyper_2,simulator,0.1135127418159061,0.12023255861204768,,0.1135127418159061,0.12023255861204768,0.06075804561751194,0.06075804561751194,,linear_alternating,hnx,5.0,3.0,29.0,5.0,False,100.0,13.0,0.0,SatoLiu21,HTest,Sato21_Nonnorm,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,0.13738866922177043,0.10088038100909656,,-0.05150126878811976,0.09659919342053416,0.051578683803176324,0.018413054967111448,,,,,,,,,,17.0,2.0,,,,,,,,,,,,,
2,,,0.0987252736079453,0.0918127258749198,,-0.12894148218605853,0.0887682149657048,0.03755890846430534,0.045325077213554936,,,,,,,,,,18.0,3.0,,,,,,,,,,,,,
3,,,0.09549009361518987,0.08321335632921423,,-0.16606971058783204,0.09270952918049498,0.03143387146294145,0.02049027857722175,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,
4,,,0.12184042541191742,0.1147801702061533,,-0.9263116657805747,-0.0015332765746623957,0.03508314448924369,0.03169715516700529,,,,,,,,,,20.0,5.0,,,,,,,,,,,,,
5,,,0.11134687781522422,0.0857823523890431,,-1.0646491525987731,-0.00275426400424668,0.03659645400400957,0.010627239920057487,,,,,,,,,,174.0,59.0,,,,,,,,,,,,,
6,,,0.07682313261757598,0.09273729603127438,,-1.0422773019646032,-0.0404540840779449,0.1165793109671738,0.02923682513783509,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.0033274514159212015,0.0122893901252399,,-1.5847096878570586,-0.050378458178429314,0.11530143460047228,0.01765568065890346,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.11610360901176395,0.13671199314695698,,-2.128614817667523,-0.05158013080017837,0.13735546827319328,0.147155931952562,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.008625648612631346,0.02413732342997026,,-1.968509033134047,-0.056220206124343086,0.16573536997755142,0.007328216906243592,,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.006781941010398277,-0.0024224615183638452,,-2.3285079716725203,-0.04654083900148634,0.1111048552848451,0.032142822999064034,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-0.051449845389756194,-0.04145121585620704,,-2.2531816024979987,-0.04793620590517222,0.10895996131262813,0.11945492440375276,,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.06464014761374037,0.05196311815465184,,-1.7158305883986382,-0.06296133823818104,0.16025909140628716,0.0056371023133226705,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-0.04576445238796625,-0.04497709968454333,,-1.1344917243798893,-0.06521742811806072,0.1587416944063951,0.07831187525537696,,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.013447419215802064,0.013984308924174025,,-1.7265765920501674,-0.0721300272116852,0.16953820047259222,0.041218104670152356,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-0.04343070218392627,-0.02508279559452349,,-1.9910433480821392,-0.07106470223245302,0.14949845897924627,0.13565396453933204,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.010634201783516537,0.004639151714129863,,-1.8200192262757153,-0.08038072566700041,0.19281268363119672,0.012521376420809409,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-0.04359858838728435,-0.04849706401693928,,-1.766300846130572,-0.10759560876749887,0.3481585819928195,0.17219136110613315,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-0.008481953791102023,0.0007554701570789623,,-1.269680878138156,-0.11966895017429194,0.3906890087406166,0.011917929774027397,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.05150126878811976,-0.056220206124343086,,-0.673803356370815,-0.11979019224096464,0.38635606688480323,0.16573536997755142,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.04224492338685818,-0.010220419816600546,,-1.4195909189996394,-0.11945329343002883,0.40034176767050283,0.017792425119641363,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.013780150987812222,-0.040927249144120645,,-1.4053595350443318,-0.1191952484240813,0.39333641066801805,0.19567060900507946,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-0.03044913418810232,-0.03262800845107446,,-3.833407894575758,-0.11828409387687493,0.39037753943370934,0.060416656392877334,,,,,,,,,,,,,,,,,,,,,,,,
23,,,0.0023987896106709232,-0.007194782722674139,,-2.61582586882122,-0.17845031184670057,0.6524167886304413,0.05089231481960186,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.03234426518869897,-0.0744745912829885,,-2.61582586882122,-0.1785296626643823,0.6522546918433563,0.20450225585330253,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.04482521520915461,0.019293817262935335,,,-0.18089210041567616,0.6689907778062741,0.0002131507577292738,,,,,,,,,,,,,,,,,,,,,,,,
26,,,0.005969742010142562,-0.022918744077639268,,,-0.1827582075002011,0.6815914094468711,0.06081048747808652,,,,,,,,,,,,,,,,,,,,,,,,
27,,,-0.053396399788716416,-0.052179971287900084,,,-0.18277138994945083,0.6816211998881545,0.10210928025892894,,,,,,,,,,,,,,,,,,,,,,,,
28,,,0.04527745042086531,0.024635411624771644,,,-0.18281587025777984,0.6844155188310421,0.04264030340220774,,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.029571895781215666,-0.04704412935024344,,,-0.1826865702389513,0.6867474646500891,0.127421410110688,,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.0031051011794935115,-0.010210056944091583,,,-0.5803630568418549,0.6867474646500891,0.12345916405247653,,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.05224842838174447,-0.026838589094784596,,,-0.5720158909807538,0.6854684443253728,0.053331024404011995,,,,,,,,,,,,,,,,,,,,,,,,
32,,,-0.031802799188528505,-0.07750723512276667,,,-0.571294716491274,0.6876690780458069,0.2616775710730564,,,,,,,,,,,,,,,,,,,,,,,,
33,,,0.035363176214438734,0.009066142647173389,,,-0.920898148232852,0.7861275825047364,0.0012433949736363956,,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.04776243018529003,0.015075937771392675,,,-0.9102131106957604,0.7793470165761849,0.00040714780456547046,,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.11367758738455824,-0.10612243966503063,,,-0.9097878391571101,0.7783472793104678,0.3609720664144997,,,,,,,,,,,,,,,,,,,,,,,,
36,,,0.011398018020114697,0.0009050783678999281,,,-0.9276228686269006,0.7711433186130412,0.07009915985638682,,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.0795788453820859,-0.09779111489849159,,,-0.9308271313233935,0.7719495130791935,0.32455096792927607,,,,,,,,,,,,,,,,,,,,,,,,
38,,,-0.12894148218605853,-0.11966895017429194,,,-0.939744347419315,0.7798547474868212,0.3906890087406166,,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.09749864678607503,-0.07450849853764434,,,-0.9396988270000797,0.7796345781169145,0.1483567540639388,,,,,,,,,,,,,,,,,,,,,,,,
40,,,-0.09235471978445554,-0.06791414222285846,,,-0.942579278203133,0.782151748622747,0.24878629663556076,,,,,,,,,,,,,,,,,,,,,,,,
41,,,-0.02963693518784662,-0.05802764206132664,,,-0.9769576309267339,0.7767857597681908,0.11421067599336002,,,,,,,,,,,,,,,,,,,,,,,,
42,,,-0.12158026778539358,-0.09465492365096144,,,-0.9709188175595399,0.7578732219596879,0.2927781299211006,,,,,,,,,,,,,,,,,,,,,,,,
43,,,-0.07585362278752354,-0.07783092070378254,,,-0.9785372926909003,0.7657992681028043,0.17129935949379652,,,,,,,,,,,,,,,,,,,,,,,,
44,,,-0.04987687078760834,-0.07392938074445374,,,-0.9814407860099532,0.7666147564627497,0.23128976873967522,,,,,,,,,,,,,,,,,,,,,,,,
45,,,-0.0036465671796639823,-0.05291981153655004,,,-0.9823137005503615,0.7666389955814141,0.2158372325397311,,,,,,,,,,,,,,,,,,,,,,,,
46,,,-0.03048694157819847,-0.03974910523135646,,,-0.9904873293106699,0.7774686975372224,0.1783904395687363,,,,,,,,,,,,,,,,,,,,,,,,
47,,,-0.20254001018444048,-0.18319410965199395,,,-0.9967590698665861,0.8128984221300368,0.6647203412290712,,,,,,,,,,,,,,,,,,,,,,,,
48,,,0.030167825814455682,0.03736648495615089,,,-0.9980230395120806,0.8117872171946993,0.004664839289864979,,,,,,,,,,,,,,,,,,,,,,,,
49,,,-0.13494903158629729,-0.12086604906266239,,,-0.9994762939172511,0.8188096771470608,0.3277957883065951,,,,,,,,,,,,,,,,,,,,,,,,
