Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,45.547865186381166,45.547865186381166,0.9999999999999999,45.547865186381166,45.547865186381166,0.0004633056634812006,0.0004633056634812006,0.0004633056634812006,linear_alternating,hnx,8.0,0.0,8.0,1.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,28.924053899540684,28.924053899540684,0.9999999999999999,28.924053899540684,28.924053899540684,0.0008557981009660604,0.0008557981009660604,0.0008557981009660604,,,,,,,,,,,,,,,,,,,,,,,
2,,,15.382092123966988,15.382092123966988,1.0,15.382092123966988,15.382092123966988,0.0010880331090723076,0.0010880331090723076,0.0010880331090723076,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.6778744833460562,0.6778744833460562,1.0,0.6778744833460562,0.6778744833460562,0.0015945865595121853,0.0015945865595121853,0.0015945865595121853,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.010411238747515594,0.010411238747515594,1.0,0.010411238747515594,0.010411238747515594,0.0013869841791221177,0.0013869841791221177,0.0013869841791221177,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.00025594910669641494,0.00025594910669641494,0.9999999999999998,0.00025594910669641494,0.00025594910669641494,0.0013392361164484576,0.0013392361164484576,0.0013392361164484576,,,,,,,,,,,,,,,,,,,,,,,
6,,,-2.063569599590846e-05,-2.063569599590846e-05,1.0000000000000002,-2.063569599590846e-05,-2.063569599590846e-05,0.001346419305963191,0.001346419305963191,0.001346419305963191,,,,,,,,,,,,,,,,,,,,,,,
7,,,-2.076418670971334e-05,-2.076418670971334e-05,1.0,-2.076418670971334e-05,-2.076418670971334e-05,0.0013464560760556143,0.0013464560760556143,0.0013464560760556143,,,,,,,,,,,,,,,,,,,,,,,
8,,,-2.0770580509538e-05,-2.0770580509538e-05,1.0,-2.079417832521959e-05,-2.079417832521959e-05,0.0013474044635619338,0.001346645707716483,0.001346645707716483,,,,,,,,,,,,,,,,,,,,,,,
9,,,-2.079417832521959e-05,-2.079417832521959e-05,1.0,-2.1080016774410275e-05,-2.1080016774410275e-05,0.0013589754605514163,0.0013474044635619338,0.0013474044635619338,,,,,,,,,,,,,,,,,,,,,,,
10,,,-2.1080016774410275e-05,-2.1080016774410275e-05,1.0,-2.1740900403015817e-05,-2.1740900403015817e-05,0.0013908355885987019,0.0013589754605514163,0.0013589754605514163,,,,,,,,,,,,,,,,,,,,,,,
11,,,-2.1740900403015817e-05,-2.1740900403015817e-05,1.0,-2.3809881162807212e-05,-2.3809881162807212e-05,0.0015024949371209861,0.0013908355885987019,0.0013908355885987019,,,,,,,,,,,,,,,,,,,,,,,
12,,,-2.3809881162807212e-05,-2.3809881162807212e-05,1.0,-3.08491696452965e-05,-3.08491696452965e-05,0.0019456638216657624,0.0015024949371209861,0.0015024949371209861,,,,,,,,,,,,,,,,,,,,,,,
13,,,-3.08491696452965e-05,-3.08491696452965e-05,1.0,-6.633622110591064e-05,-6.633622110591064e-05,0.006747380755578608,0.0019456638216657624,0.0019456638216657624,,,,,,,,,,,,,,,,,,,,,,,
14,,,-6.633622110591064e-05,-6.633622110591064e-05,0.9999999999999999,-0.00011475110538021199,-0.00011475110538021199,0.023115848426969305,0.006747380755578608,0.006747380755578608,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.0002908754895473716,0.0002908754895473716,1.0,-0.00020119459553220677,-0.00020119459553220677,0.11935233326270388,0.22437253770060273,0.22437253770060273,,,,,,,,,,,,,,,,,,,,,,,
16,,,-0.00011475110538021199,-0.00011475110538021199,1.0000000000000002,-0.0004395809331383437,-0.0004395809331383437,0.4466024171995165,0.023115848426969305,0.023115848426969305,,,,,,,,,,,,,,,,,,,,,,,
17,,,2.4257820955263608e-06,2.4257820955263608e-06,0.9999999999999998,-0.0005858425859131325,-0.0005858425859131325,0.3804157671298316,0.005489174631469943,0.005489174631469943,,,,,,,,,,,,,,,,,,,,,,,
18,,,-9.481750392592788e-05,-9.481750392592788e-05,0.9999999999999999,-0.001933859330620991,-0.001933859330620991,0.22410307321835282,0.31761594530193016,0.31761594530193016,,,,,,,,,,,,,,,,,,,,,,,
19,,,-0.00020119459553220677,-0.00020119459553220677,1.0,-0.00671655972716602,-0.00671655972716602,0.43494255455270836,0.11935233326270388,0.11935233326270388,,,,,,,,,,,,,,,,,,,,,,,
20,,,-0.0002585309991384309,-0.0002585309991384309,1.0,-0.00993316820214047,-0.00993316820214047,0.29254789123504815,0.23929366619014814,0.23929366619014814,,,,,,,,,,,,,,,,,,,,,,,
21,,,-0.0004395809331383437,-0.0004395809331383437,1.0,-0.04327507938055959,-0.04327507938055959,0.3804060726486433,0.4466024171995165,0.4466024171995165,,,,,,,,,,,,,,,,,,,,,,,
22,,,-8.140925421739895e-06,-8.140925421739895e-06,0.9999999999999999,-0.0759994000871599,-0.0759994000871599,0.29054630941018816,0.0001247617631329658,0.0001247617631329658,,,,,,,,,,,,,,,,,,,,,,,
23,,,-0.0005858425859131325,-0.0005858425859131325,0.9999999999999999,-0.5899320785501244,-0.5899320785501244,0.5897279913634362,0.3804157671298316,0.3804157671298316,,,,,,,,,,,,,,,,,,,,,,,
24,,,-0.0010879267850005603,-0.0010879267850005603,0.9999999999999999,-0.6322782595694336,-0.6322782595694336,0.5863767688468468,0.4490724838854766,0.4490724838854766,,,,,,,,,,,,,,,,,,,,,,,
25,,,-0.001933859330620991,-0.001933859330620991,1.0,-0.8595882984948366,-0.8595882984948366,0.7867839918541041,0.22410307321835282,0.22410307321835282,,,,,,,,,,,,,,,,,,,,,,,
26,,,-0.005430321672844147,-0.005430321672844147,1.0,-1.169933313738343,-1.169933313738343,0.7541664058493712,0.45072031239232835,0.45072031239232835,,,,,,,,,,,,,,,,,,,,,,,
27,,,0.00015320675787087686,0.00015320675787087686,1.0,-1.5977200379158398,-1.5977200379158398,0.6300926407030558,0.00246974619672342,0.00246974619672342,,,,,,,,,,,,,,,,,,,,,,,
28,,,-0.00671655972716602,-0.00671655972716602,1.0,-2.5251067915185432,-2.5251067915185432,0.6314479242130918,0.43494255455270836,0.43494255455270836,,,,,,,,,,,,,,,,,,,,,,,
29,,,-0.0042992629422235595,-0.0042992629422235595,1.0,-3.2896837485730717,-3.2896837485730717,0.7298657516676401,0.07032209335395258,0.07032209335395258,,,,,,,,,,,,,,,,,,,,,,,
30,,,-0.00993316820214047,-0.00993316820214047,1.0,-3.9770632262291326,-3.9770632262291326,0.7564549776655805,0.29254789123504815,0.29254789123504815,,,,,,,,,,,,,,,,,,,,,,,
31,,,-0.036167850593895684,-0.036167850593895684,1.0000000000000002,-4.382759079391697,-4.382759079391697,0.7577749635596079,0.4718832821865943,0.4718832821865943,,,,,,,,,,,,,,,,,,,,,,,
32,,,0.03396758558420046,0.03396758558420046,1.0,-6.043505337052609,-6.043505337052609,0.7317203161130277,1.7342295840626739e-06,1.7342295840626739e-06,,,,,,,,,,,,,,,,,,,,,,,
33,,,-0.04327507938055959,-0.04327507938055959,1.0,-8.65273616773258,-8.65273616773258,0.7194456432060597,0.3804060726486433,0.3804060726486433,,,,,,,,,,,,,,,,,,,,,,,
34,,,-0.0759994000871599,-0.0759994000871599,0.9999999999999999,-9.52621974242385,-9.52621974242385,0.7071831425263629,0.29054630941018816,0.29054630941018816,,,,,,,,,,,,,,,,,,,,,,,
35,,,-0.5899320785501244,-0.5899320785501244,1.0000000000000002,-10.98063570074822,-10.98063570074822,0.6734536804467566,0.5897279913634362,0.5897279913634362,,,,,,,,,,,,,,,,,,,,,,,
36,,,3.9951558297610985,3.9951558297610985,1.0000000000000002,-12.057402439436487,-12.057402439436487,0.645484680829521,0.10557123695231396,0.10557123695231396,,,,,,,,,,,,,,,,,,,,,,,
37,,,-0.6322782595694336,-0.6322782595694336,0.9999999999999998,-12.525211651436791,-12.525211651436791,0.6191637830260653,0.5863767688468468,0.5863767688468468,,,,,,,,,,,,,,,,,,,,,,,
38,,,0.5114202922077464,0.5114202922077464,1.0000000000000002,-13.061221539845505,-13.061221539845505,0.5911220472935873,0.11391007919989612,0.11391007919989612,,,,,,,,,,,,,,,,,,,,,,,
39,,,-0.8595882984948366,-0.8595882984948366,1.0,-13.566717445980242,-13.566717445980242,0.5504019960284809,0.7867839918541041,0.7867839918541041,,,,,,,,,,,,,,,,,,,,,,,
40,,,-1.169933313738343,-1.169933313738343,1.0000000000000002,-14.65287256727316,-14.65287256727316,0.5607084966814474,0.7541664058493712,0.7541664058493712,,,,,,,,,,,,,,,,,,,,,,,
41,,,-1.5977200379158398,-1.5977200379158398,1.0,-15.452776565724974,-15.452776565724974,0.5354913819511802,0.6300926407030558,0.6300926407030558,,,,,,,,,,,,,,,,,,,,,,,
42,,,-2.5251067915185432,-2.5251067915185432,1.0000000000000002,-16.051915336524473,-16.051915336524473,0.5538183165527875,0.6314479242130918,0.6314479242130918,,,,,,,,,,,,,,,,,,,,,,,
43,,,-3.2896837485730717,-3.2896837485730717,0.9999999999999999,-16.454815111184555,-16.454815111184555,0.5724687880414386,0.7298657516676401,0.7298657516676401,,,,,,,,,,,,,,,,,,,,,,,
44,,,2.580892634975837,2.580892634975837,0.9999999999999999,-17.65966336230935,-17.65966336230935,0.624807522856922,0.5977952244371968,0.5977952244371968,,,,,,,,,,,,,,,,,,,,,,,
45,,,-3.9770632262291326,-3.9770632262291326,1.0000000000000002,-19.350263669851884,-19.350263669851884,0.7448259725456917,0.7564549776655805,0.7564549776655805,,,,,,,,,,,,,,,,,,,,,,,
46,,,1.1327187625052892,1.1327187625052892,1.0,-20.457136805042374,-20.457136805042374,0.7883161850761136,0.5813181641746876,0.5813181641746876,,,,,,,,,,,,,,,,,,,,,,,
47,,,-4.382759079391697,-4.382759079391697,0.9999999999999998,-20.53793660293216,-20.53793660293216,0.8042216497010656,0.7577749635596079,0.7577749635596079,,,,,,,,,,,,,,,,,,,,,,,
48,,,-6.043505337052609,-6.043505337052609,1.0000000000000002,-20.754430874780414,-20.754430874780414,0.8107052978324705,0.7317203161130277,0.7317203161130277,,,,,,,,,,,,,,,,,,,,,,,
49,,,11.193755679724921,11.193755679724921,0.9999999999999999,-20.94301575833039,-20.94301575833039,0.8222056439690311,0.5300416136883206,0.5300416136883206,,,,,,,,,,,,,,,,,,,,,,,
50,,,-8.65273616773258,-8.65273616773258,1.0,-21.10822907771748,-21.10822907771748,0.8331504144069208,0.7194456432060597,0.7194456432060597,,,,,,,,,,,,,,,,,,,,,,,
51,,,826.0322356589454,826.0322356589454,1.0,-21.10822907771748,-21.10822907771748,0.8331504144069208,0.004477051254532333,0.004477051254532333,,,,,,,,,,,,,,,,,,,,,,,
52,,,-9.52621974242385,-9.52621974242385,0.9999999999999998,,,,0.7071831425263629,0.7071831425263629,,,,,,,,,,,,,,,,,,,,,,,
53,,,115.53244336226425,115.53244336226425,0.9999999999999999,,,,0.09114309347569763,0.09114309347569763,,,,,,,,,,,,,,,,,,,,,,,
54,,,-10.98063570074822,-10.98063570074822,0.9999999999999998,,,,0.6734536804467566,0.6734536804467566,,,,,,,,,,,,,,,,,,,,,,,
55,,,264.2084255131596,264.2084255131596,1.0,,,,0.1673534528069905,0.1673534528069905,,,,,,,,,,,,,,,,,,,,,,,
56,,,-12.057402439436487,-12.057402439436487,1.0,,,,0.645484680829521,0.645484680829521,,,,,,,,,,,,,,,,,,,,,,,
57,,,-5.858083386100232,-5.858083386100232,1.0,,,,0.5039471371651323,0.5039471371651323,,,,,,,,,,,,,,,,,,,,,,,
58,,,-12.525211651436791,-12.525211651436791,1.0,,,,0.6191637830260653,0.6191637830260653,,,,,,,,,,,,,,,,,,,,,,,
59,,,1.393742987015339,1.393742987015339,1.0000000000000002,,,,0.437893595688296,0.437893595688296,,,,,,,,,,,,,,,,,,,,,,,
60,,,-13.061221539845505,-13.061221539845505,1.0000000000000002,,,,0.5911220472935873,0.5911220472935873,,,,,,,,,,,,,,,,,,,,,,,
61,,,-13.566717445980242,-13.566717445980242,1.0,,,,0.5504019960284809,0.5504019960284809,,,,,,,,,,,,,,,,,,,,,,,
62,,,-14.65287256727316,-14.65287256727316,0.9999999999999999,,,,0.5607084966814474,0.5607084966814474,,,,,,,,,,,,,,,,,,,,,,,
63,,,-15.452776565724974,-15.452776565724974,1.0,,,,0.5354913819511802,0.5354913819511802,,,,,,,,,,,,,,,,,,,,,,,
