Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,101.51472218005837,101.51472218005837,0.9999999999999999,101.51472218005837,101.51472218005837,0.0009663428738335231,0.0009663428738335231,0.0009663428738335231,linear_alternating,hnx,8.0,2.0,36.0,13.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,32.90978351648166,32.90978351648166,1.0000000000000002,32.90978351648166,32.90978351648166,0.0023156125815645893,0.0023156125815645893,0.0023156125815645893,,,,,,,,,,,,,,,,,,,,,,,
2,,,33.67092595223087,33.67092595223087,1.0000000000000002,20.799308738981384,20.799308738981384,0.0025034012947123983,0.0019386954204759464,0.0019386954204759464,,,,,,,,,,,,,,,,,,,,,,,
3,,,20.799308738981384,20.799308738981384,0.9999999999999999,14.655263383295413,14.655263383295413,0.0025557946503184333,0.0025034012947123983,0.0025034012947123983,,,,,,,,,,,,,,,,,,,,,,,
4,,,14.655263383295413,14.655263383295413,0.9999999999999998,11.401173390805498,11.401173390805498,0.0028185036859123473,0.0025557946503184333,0.0025557946503184333,,,,,,,,,,,,,,,,,,,,,,,
5,,,11.401173390805498,11.401173390805498,1.0000000000000002,10.519315461992624,10.519315461992624,0.003398247840125411,0.0028185036859123473,0.0028185036859123473,,,,,,,,,,,,,,,,,,,,,,,
6,,,10.519315461992624,10.519315461992624,1.0,9.421181154310819,9.421181154310819,0.005317318651721471,0.003398247840125411,0.003398247840125411,,,,,,,,,,,,,,,,,,,,,,,
7,,,9.421181154310819,9.421181154310819,0.9999999999999998,7.661649025436337,7.661649025436337,0.012471903484168443,0.005317318651721471,0.005317318651721471,,,,,,,,,,,,,,,,,,,,,,,
8,,,7.661649025436337,7.661649025436337,1.0,4.706670302662049,4.706670302662049,0.05520342406335761,0.012471903484168443,0.012471903484168443,,,,,,,,,,,,,,,,,,,,,,,
9,,,4.706670302662049,4.706670302662049,1.0,1.1344601839314792,1.1344601839314792,0.1533148611598869,0.05520342406335761,0.05520342406335761,,,,,,,,,,,,,,,,,,,,,,,
10,,,1.1344601839314792,1.1344601839314792,1.0,-1.8928529988588134,-1.8928529988588134,0.35789179874614574,0.1533148611598869,0.1533148611598869,,,,,,,,,,,,,,,,,,,,,,,
11,,,-1.8928529988588134,-1.8928529988588134,1.0000000000000002,-3.0873195664223063,-3.0873195664223063,0.4024622511626372,0.35789179874614574,0.35789179874614574,,,,,,,,,,,,,,,,,,,,,,,
12,,,-3.0873195664223063,-3.0873195664223063,1.0,-3.5819340719625004,-3.5819340719625004,0.48709979386490815,0.4024622511626372,0.4024622511626372,,,,,,,,,,,,,,,,,,,,,,,
13,,,-3.5819340719625004,-3.5819340719625004,1.0,-4.019925852078156,-4.019925852078156,0.5471950380958018,0.48709979386490815,0.48709979386490815,,,,,,,,,,,,,,,,,,,,,,,
14,,,-4.019925852078156,-4.019925852078156,1.0,-4.36399651756512,-4.36399651756512,0.5860353986497178,0.5471950380958018,0.5471950380958018,,,,,,,,,,,,,,,,,,,,,,,
15,,,-4.36399651756512,-4.36399651756512,1.0,-4.9549546500043755,-4.9549546500043755,0.692938040244569,0.5860353986497178,0.5860353986497178,,,,,,,,,,,,,,,,,,,,,,,
16,,,-4.9549546500043755,-4.9549546500043755,1.0,-5.338743329770572,-5.338743329770572,0.7489595228571002,0.692938040244569,0.692938040244569,,,,,,,,,,,,,,,,,,,,,,,
17,,,-5.338743329770572,-5.338743329770572,1.0,-5.6822641360738055,-5.6822641360738055,0.7966840151961802,0.7489595228571002,0.7489595228571002,,,,,,,,,,,,,,,,,,,,,,,
18,,,-5.6822641360738055,-5.6822641360738055,1.0,-5.943606388229054,-5.943606388229054,0.805597738819053,0.7966840151961802,0.7966840151961802,,,,,,,,,,,,,,,,,,,,,,,
