Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
0,full_vqa_exact_bfgs_1,simulator,51.72320252360219,51.72320252360219,1.0,51.72320252360219,51.72320252360219,0.00041954527405021526,0.00041954527405021526,0.00041954527405021526,linear_alternating,hnx,8.0,3.0,50.0,1.0,True,1000.0,,,exact,Statevec,Sato21_Nonnorm,L_BFGS_B,ry,cz,rx,rzz,ryy,hadamards,True,False,False
1,,,23.265068067469425,23.265068067469425,1.0,23.265068067469425,23.265068067469425,6.949078735183401e-05,6.949078735183401e-05,6.949078735183401e-05,,,,,,,,,,,,,,,,,,,,,,,
2,,,25.670226967948228,25.670226967948228,1.0,18.349409945012795,18.349409945012795,0.0005066693989621093,0.0007218204002283207,0.0007218204002283207,,,,,,,,,,,,,,,,,,,,,,,
3,,,18.349409945012795,18.349409945012795,1.0,12.7338690821307,12.7338690821307,0.0017637586339532103,0.0005066693989621093,0.0005066693989621093,,,,,,,,,,,,,,,,,,,,,,,
4,,,12.7338690821307,12.7338690821307,0.9999999999999998,5.854776345774409,5.854776345774409,0.0350007695035547,0.0017637586339532103,0.0017637586339532103,,,,,,,,,,,,,,,,,,,,,,,
5,,,5.854776345774409,5.854776345774409,1.0000000000000002,3.927166622710754,3.927166622710754,0.20518338602313058,0.0350007695035547,0.0350007695035547,,,,,,,,,,,,,,,,,,,,,,,
6,,,3.927166622710754,3.927166622710754,1.0,1.130256312189488,1.130256312189488,0.24019966402194057,0.20518338602313058,0.20518338602313058,,,,,,,,,,,,,,,,,,,,,,,
7,,,1.130256312189488,1.130256312189488,1.0000000000000002,-0.4721699848115027,-0.4721699848115027,0.33438865628351516,0.24019966402194057,0.24019966402194057,,,,,,,,,,,,,,,,,,,,,,,
8,,,-0.4721699848115027,-0.4721699848115027,1.0,-2.2332665311649267,-2.2332665311649267,0.5162311324313646,0.33438865628351516,0.33438865628351516,,,,,,,,,,,,,,,,,,,,,,,
9,,,-2.2332665311649267,-2.2332665311649267,1.0,-4.177814250611308,-4.177814250611308,0.6864063028820779,0.5162311324313646,0.5162311324313646,,,,,,,,,,,,,,,,,,,,,,,
10,,,-4.177814250611308,-4.177814250611308,1.0000000000000002,-6.00773642309097,-6.00773642309097,0.8279206090123943,0.6864063028820779,0.6864063028820779,,,,,,,,,,,,,,,,,,,,,,,
11,,,-6.00773642309097,-6.00773642309097,1.0,-6.370827977347291,-6.370827977347291,0.8379044808598688,0.8279206090123943,0.8279206090123943,,,,,,,,,,,,,,,,,,,,,,,
12,,,-6.370827977347291,-6.370827977347291,1.0000000000000002,-6.568083798393232,-6.568083798393232,0.8396317968400281,0.8379044808598688,0.8379044808598688,,,,,,,,,,,,,,,,,,,,,,,
13,,,-6.568083798393232,-6.568083798393232,1.0000000000000002,-6.670278216904338,-6.670278216904338,0.8465299551510855,0.8396317968400281,0.8396317968400281,,,,,,,,,,,,,,,,,,,,,,,
14,,,-6.670278216904338,-6.670278216904338,1.0000000000000002,-6.7809468886267865,-6.7809468886267865,0.8500685758356376,0.8465299551510855,0.8465299551510855,,,,,,,,,,,,,,,,,,,,,,,
15,,,-6.7809468886267865,-6.7809468886267865,0.9999999999999999,-6.844281948031785,-6.844281948031785,0.8527087542421901,0.8500685758356376,0.8500685758356376,,,,,,,,,,,,,,,,,,,,,,,
16,,,-6.844281948031785,-6.844281948031785,1.0,-6.9241025327917205,-6.9241025327917205,0.8567520637611558,0.8527087542421901,0.8527087542421901,,,,,,,,,,,,,,,,,,,,,,,
17,,,-6.9241025327917205,-6.9241025327917205,1.0,-7.024885031197756,-7.024885031197756,0.8638850618755785,0.8567520637611558,0.8567520637611558,,,,,,,,,,,,,,,,,,,,,,,
18,,,-7.024885031197756,-7.024885031197756,1.0,-7.277468729191396,-7.277468729191396,0.8695009284880213,0.8638850618755785,0.8638850618755785,,,,,,,,,,,,,,,,,,,,,,,
19,,,-7.277468729191396,-7.277468729191396,1.0000000000000002,-7.383642674562257,-7.383642674562257,0.8655894871439619,0.8695009284880213,0.8695009284880213,,,,,,,,,,,,,,,,,,,,,,,
20,,,-6.956310039079672,-6.956310039079672,1.0,-7.522030903271785,-7.522030903271785,0.8706166888018921,0.8389123061437277,0.8389123061437277,,,,,,,,,,,,,,,,,,,,,,,
21,,,-7.383642674562257,-7.383642674562257,1.0,-7.91757516781112,-7.91757516781112,0.8737438070587032,0.8655894871439619,0.8655894871439619,,,,,,,,,,,,,,,,,,,,,,,
22,,,-7.522030903271785,-7.522030903271785,1.0000000000000002,-8.309576959980287,-8.309576959980287,0.8666841906755455,0.8706166888018921,0.8706166888018921,,,,,,,,,,,,,,,,,,,,,,,
23,,,-7.91757516781112,-7.91757516781112,1.0000000000000002,-8.60056908029156,-8.60056908029156,0.8350367708620925,0.8737438070587032,0.8737438070587032,,,,,,,,,,,,,,,,,,,,,,,
24,,,-8.309576959980287,-8.309576959980287,0.9999999999999999,-9.23740054320028,-9.23740054320028,0.8412507322009604,0.8666841906755455,0.8666841906755455,,,,,,,,,,,,,,,,,,,,,,,
25,,,-8.60056908029156,-8.60056908029156,0.9999999999999998,-9.74231991818399,-9.74231991818399,0.8259215022033011,0.8350367708620925,0.8350367708620925,,,,,,,,,,,,,,,,,,,,,,,
26,,,-9.23740054320028,-9.23740054320028,0.9999999999999999,-10.219438838454652,-10.219438838454652,0.814850742352164,0.8412507322009604,0.8412507322009604,,,,,,,,,,,,,,,,,,,,,,,
27,,,-9.74231991818399,-9.74231991818399,1.0,-10.939154802623035,-10.939154802623035,0.851030554889365,0.8259215022033011,0.8259215022033011,,,,,,,,,,,,,,,,,,,,,,,
28,,,-10.219438838454652,-10.219438838454652,1.0,-11.612138089065331,-11.612138089065331,0.8341145580724857,0.814850742352164,0.814850742352164,,,,,,,,,,,,,,,,,,,,,,,
29,,,-10.939154802623035,-10.939154802623035,1.0,-12.24861417375334,-12.24861417375334,0.8457979139828719,0.851030554889365,0.851030554889365,,,,,,,,,,,,,,,,,,,,,,,
30,,,-11.612138089065331,-11.612138089065331,0.9999999999999999,-12.729672544688182,-12.729672544688182,0.8546124546366626,0.8341145580724857,0.8341145580724857,,,,,,,,,,,,,,,,,,,,,,,
31,,,-12.24861417375334,-12.24861417375334,1.0,-13.177575626205055,-13.177575626205055,0.8577165836172194,0.8457979139828719,0.8457979139828719,,,,,,,,,,,,,,,,,,,,,,,
32,,,-12.729672544688182,-12.729672544688182,0.9999999999999998,-13.69557316071801,-13.69557316071801,0.8534775856279901,0.8546124546366626,0.8546124546366626,,,,,,,,,,,,,,,,,,,,,,,
33,,,-13.177575626205055,-13.177575626205055,1.0000000000000002,-14.102294988626458,-14.102294988626458,0.8397249667206985,0.8577165836172194,0.8577165836172194,,,,,,,,,,,,,,,,,,,,,,,
34,,,-13.69557316071801,-13.69557316071801,1.0,-14.569301297754498,-14.569301297754498,0.8452257702019516,0.8534775856279901,0.8534775856279901,,,,,,,,,,,,,,,,,,,,,,,
35,,,-14.102294988626458,-14.102294988626458,1.0000000000000002,-14.948112437430446,-14.948112437430446,0.8591956969453654,0.8397249667206985,0.8397249667206985,,,,,,,,,,,,,,,,,,,,,,,
36,,,-14.569301297754498,-14.569301297754498,1.0,-15.911516410456855,-15.911516410456855,0.8537755531168142,0.8452257702019516,0.8452257702019516,,,,,,,,,,,,,,,,,,,,,,,
37,,,-14.948112437430446,-14.948112437430446,0.9999999999999999,-16.65258920060425,-16.65258920060425,0.8367012893894946,0.8591956969453654,0.8591956969453654,,,,,,,,,,,,,,,,,,,,,,,
38,,,-15.911516410456855,-15.911516410456855,1.0,-16.95708577558642,-16.95708577558642,0.8074509120371361,0.8537755531168142,0.8537755531168142,,,,,,,,,,,,,,,,,,,,,,,
39,,,-12.305702992562637,-12.305702992562637,1.0,-17.759781978947423,-17.759781978947423,0.8183279681460826,0.7530067015697353,0.7530067015697353,,,,,,,,,,,,,,,,,,,,,,,
40,,,-16.65258920060425,-16.65258920060425,1.0000000000000002,-18.042639946778056,-18.042639946778056,0.826213348969122,0.8367012893894946,0.8367012893894946,,,,,,,,,,,,,,,,,,,,,,,
41,,,-16.95708577558642,-16.95708577558642,0.9999999999999998,-19.305864237637486,-19.305864237637486,0.8421379648874241,0.8074509120371361,0.8074509120371361,,,,,,,,,,,,,,,,,,,,,,,
42,,,-17.759781978947423,-17.759781978947423,1.0,-19.97104804768226,-19.97104804768226,0.8398309580738164,0.8183279681460826,0.8183279681460826,,,,,,,,,,,,,,,,,,,,,,,
43,,,-18.042639946778056,-18.042639946778056,1.0,-20.5432384074291,-20.5432384074291,0.8251518572261377,0.826213348969122,0.826213348969122,,,,,,,,,,,,,,,,,,,,,,,
44,,,-19.305864237637486,-19.305864237637486,0.9999999999999998,-21.333325303067937,-21.333325303067937,0.830784335053559,0.8421379648874241,0.8421379648874241,,,,,,,,,,,,,,,,,,,,,,,
45,,,-18.76556257838928,-18.76556257838928,1.0,-21.632839682019362,-21.632839682019362,0.8012024511521653,0.824995800897989,0.824995800897989,,,,,,,,,,,,,,,,,,,,,,,
46,,,-19.97104804768226,-19.97104804768226,1.0,-22.28288428044066,-22.28288428044066,0.8344447756876725,0.8398309580738164,0.8398309580738164,,,,,,,,,,,,,,,,,,,,,,,
47,,,-20.5432384074291,-20.5432384074291,1.0,-22.474515029271256,-22.474515029271256,0.8447141799370815,0.8251518572261377,0.8251518572261377,,,,,,,,,,,,,,,,,,,,,,,
48,,,-21.333325303067937,-21.333325303067937,1.0,-22.79278531548482,-22.79278531548482,0.8482405215843871,0.830784335053559,0.830784335053559,,,,,,,,,,,,,,,,,,,,,,,
49,,,-21.632839682019362,-21.632839682019362,1.0,-23.285854751884848,-23.285854751884848,0.8423497734524353,0.8012024511521653,0.8012024511521653,,,,,,,,,,,,,,,,,,,,,,,
50,,,-22.28288428044066,-22.28288428044066,0.9999999999999999,-23.480738547717838,-23.480738547717838,0.8465635977615683,0.8344447756876725,0.8344447756876725,,,,,,,,,,,,,,,,,,,,,,,
51,,,-22.474515029271256,-22.474515029271256,1.0,-23.480738547717838,-23.480738547717838,0.8465635977615683,0.8447141799370815,0.8447141799370815,,,,,,,,,,,,,,,,,,,,,,,
52,,,-22.79278531548482,-22.79278531548482,1.0,,,,0.8482405215843871,0.8482405215843871,,,,,,,,,,,,,,,,,,,,,,,
53,,,-23.285854751884848,-23.285854751884848,1.0,,,,0.8423497734524353,0.8423497734524353,,,,,,,,,,,,,,,,,,,,,,,
54,,,-23.282708445090165,-23.282708445090165,1.0,,,,0.847747591009479,0.847747591009479,,,,,,,,,,,,,,,,,,,,,,,
55,,,-23.480738547717838,-23.480738547717838,1.0000000000000002,,,,0.8465635977615683,0.8465635977615683,,,,,,,,,,,,,,,,,,,,,,,
