eval,fidelities_cost
0,0.0005703040434959
1,4.387672892947263e-06
2,0.0058296502056779
3,0.0011985098698802
4,0.0054692796016611
5,0.0019138673168073
6,0.0029220808208529
7,0.0045013822641636
8,0.0032434891147357
9,0.0037293795595629
10,0.0039361167690193
11,0.0045815571436386
12,0.0056576610506578
13,0.0077359467248024
14,0.0088009731738747
15,0.0081548525060035
16,0.0059176511939857
17,0.0042048929075383
18,0.0003335497900447
19,0.0067300694803845
20,5.066841611190039e-05
21,0.003255655898378
22,0.0009480866269531
23,0.0032874615903237
24,0.0037824137903107
25,0.0032869405496509
26,0.0022600540188341
27,0.0015808565558011
28,0.0005136433828889
29,0.0010570424993181
30,0.0007056428580448
31,0.0008621278854783
32,0.0005555165712711
33,0.0005720437011523
34,0.0005646739356876
35,0.0005101191268955
36,0.0004002415517952
37,0.0001957005936629
38,7.619290136774809e-05
39,9.98307264562358e-06
40,1.865524325354524e-05
41,3.888053463534304e-05
42,2.370444947780516e-05
43,1.999582266790472e-05
44,1.9290295279730185e-05
45,2.1475784133159978e-05
46,1.996199025721713e-05
47,2.0925818749412086e-05
48,2.0155994848261187e-05
49,1.6084014412597916e-05
50,1.1181212254787633e-05
51,8.886806605673453e-06
